name= \My Documents\HR1024_Data\DS112.,,,,,name= \My Documents\HR1024_Data\DS113.,,,,,name= \My Documents\HR1024_Data\DS114.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  400  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 31.05  8.88  -5.37  38.86  8.94  -5.30,,,,,temp= 31.05  8.88  -5.37  39.03  8.88  -5.24,,,,,temp= 31.05  8.88  -5.37  39.03  8.94  -5.37,,,,,
battery= 7.7  7.3,,,,,battery= 7.7  7.3,,,,,battery= 7.7  7.2,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/12/08 9:49:29 AM  1/12/08 10:06:58 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 10:07:27 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 10:08:02 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: DS112:DS113:DS114
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,468.20,141.73,30.27,,346.4,468.20,135.36,28.91,,346.4,468.20,138.55,29.59,,346.4,468.20,138.55,29.59,,
347.9,473.76,134.91,28.48,,347.9,473.76,134.91,28.48,,347.9,473.76,141.19,29.80,,347.9,473.76,137.00,28.92,,
349.5,521.04,137.28,26.35,,349.5,521.04,135.72,26.05,,349.5,521.04,145.08,27.84,,349.5,521.04,139.36,26.75,,
351.1,558.48,145.08,25.98,,351.1,558.48,132.60,23.74,,351.1,558.48,145.08,25.98,,351.1,558.48,140.92,25.23,,
352.6,585.06,142.31,24.32,,352.6,585.06,137.57,23.51,,352.6,585.06,143.89,24.59,,352.6,585.06,141.26,24.14,,
354.2,625.05,145.63,23.30,,354.2,625.05,145.63,23.30,,354.2,625.05,148.90,23.82,,354.2,625.05,146.72,23.47,,
355.7,673.50,154.91,23.00,,355.7,673.50,154.91,23.00,,355.7,673.50,161.64,24.00,,355.7,673.50,157.15,23.33,,
357.3,724.71,162.97,22.49,,357.3,724.71,157.77,21.77,,357.3,724.71,161.24,22.25,,357.3,724.71,160.66,22.17,,
358.8,751.43,164.27,21.86,,358.8,751.43,159.02,21.16,,358.8,751.43,171.26,22.79,,358.8,751.43,164.85,21.94,,
360.4,798.47,160.05,20.04,,360.4,798.47,165.32,20.70,,360.4,798.47,170.60,21.37,,360.4,798.47,165.32,20.71,,
361.9,821.87,163.68,19.92,,361.9,821.87,160.20,19.49,,361.9,821.87,170.64,20.76,,361.9,821.87,164.84,20.06,,
363.5,851.78,164.47,19.31,,363.5,851.78,162.74,19.11,,363.5,851.78,166.20,19.51,,363.5,851.78,164.47,19.31,,
365.1,887.68,162.97,18.36,,365.1,887.68,162.97,18.36,,365.1,887.68,171.64,19.34,,365.1,887.68,165.86,18.68,,
366.6,918.37,165.72,18.05,,366.6,918.37,170.90,18.61,,366.6,918.37,170.90,18.61,,366.6,918.37,169.17,18.42,,
368.2,973.68,161.16,16.55,,368.2,973.68,164.52,16.90,,368.2,973.68,177.95,18.28,,368.2,973.68,167.88,17.24,,
369.7,1008.89,166.52,16.50,,369.7,1008.89,158.35,15.70,,369.7,1008.89,166.52,16.50,,369.7,1008.89,163.80,16.24,,
371.3,1073.36,174.50,16.26,,371.3,1073.36,158.04,14.72,,371.3,1073.36,167.92,15.64,,371.3,1073.36,166.82,15.54,,
372.8,1148.72,169.32,14.74,,372.8,1148.72,161.02,14.02,,372.8,1148.72,175.96,15.32,,372.8,1148.72,168.77,14.69,,
374.4,1191.49,168.54,14.15,,374.4,1191.49,166.88,14.01,,374.4,1191.49,185.23,15.55,,374.4,1191.49,173.55,14.57,,
375.9,1247.87,167.16,13.40,,375.9,1247.87,177.09,14.19,,375.9,1247.87,178.74,14.32,,375.9,1247.87,174.33,13.97,,
377.4,1278.23,174.01,13.61,,377.4,1278.23,174.01,13.61,,377.4,1278.23,183.77,14.38,,377.4,1278.23,177.26,13.87,,
