name= \My Documents\HR1024_Data\DS115.,,,,,name= \My Documents\HR1024_Data\DS116.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 31.05  8.88  -5.37  39.11  8.94  -5.30,,,,,temp= 31.05  8.88  -5.37  39.35  8.94  -5.37,,,,,
battery= 7.7  7.2,,,,,battery= 7.7  7.2,,,,,
error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/12/08 9:49:29 AM  1/12/08 10:08:56 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 10:09:27 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,
,,,,,,,,,,AVERAGE OF INPUT FILES: DS115:DS116
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,468.20,101.92,21.77,,346.4,468.20,67.52,14.42,,346.4,468.20,84.72,18.09,,
347.9,473.76,110.44,23.31,,347.9,473.76,64.01,13.51,,347.9,473.76,87.23,18.41,,
349.5,521.04,107.33,20.60,,349.5,521.04,66.14,12.69,,349.5,521.04,86.74,16.65,,
351.1,558.48,99.84,17.88,,351.1,558.48,64.90,11.62,,351.1,558.48,82.37,14.75,,
352.6,585.06,96.14,16.43,,352.6,585.06,68.31,11.68,,352.6,585.06,82.23,14.05,,
354.2,625.05,109.96,17.59,,354.2,625.05,77.23,12.36,,354.2,625.05,93.60,14.97,,
355.7,673.50,113.15,16.80,,355.7,673.50,79.47,11.80,,355.7,673.50,96.31,14.30,,
357.3,724.71,115.12,15.89,,357.3,724.71,77.67,10.72,,357.3,724.71,96.40,13.30,,
358.8,751.43,116.03,15.44,,358.8,751.43,76.89,10.23,,358.8,751.43,96.46,12.84,,
360.4,798.47,132.26,16.56,,360.4,798.47,78.79,9.87,,360.4,798.47,105.53,13.22,,
361.9,821.87,117.01,14.24,,361.9,821.87,76.62,9.32,,361.9,821.87,96.82,11.78,,
363.5,851.78,128.81,15.12,,363.5,851.78,78.95,9.27,,363.5,851.78,103.88,12.20,,
365.1,887.68,113.73,12.81,,365.1,887.68,77.67,8.75,,365.1,887.68,95.70,10.78,,
366.6,918.37,129.81,14.14,,366.6,918.37,75.96,8.27,,366.6,918.37,102.89,11.20,,
368.2,973.68,124.90,12.83,,368.2,973.68,87.30,8.97,,368.2,973.68,106.10,10.90,,
369.7,1008.89,120.15,11.91,,369.7,1008.89,66.61,6.60,,369.7,1008.89,93.38,9.26,,
371.3,1073.36,114.58,10.67,,371.3,1073.36,71.12,6.63,,371.3,1073.36,92.85,8.65,,
372.8,1148.72,122.18,10.64,,372.8,1148.72,69.06,6.01,,372.8,1148.72,95.62,8.32,,
374.4,1191.49,126.83,10.64,,374.4,1191.49,73.43,6.16,,374.4,1191.49,100.13,8.40,,
375.9,1247.87,131.08,10.50,,375.9,1247.87,88.71,7.11,,375.9,1247.87,109.90,8.81,,
377.4,1278.23,122.29,9.57,,377.4,1278.23,76.76,6.01,,377.4,1278.23,99.53,7.79,,
379.0,1330.29,129.85,9.76,,379.0,1330.29,82.75,6.22,,379.0,1330.29,106.30,7.99,,
380.5,1360.26,116.95,8.60,,380.5,1360.26,73.86,5.43,,380.5,1360.26,95.41,7.01,,
382.1,1412.49,132.38,9.37,,382.1,1412.49,70.92,5.02,,382.1,1412.49,101.65,7.20,,
383.6,1460.03,127.01,8.70,,383.6,1460.03,82.78,5.67,,383.6,1460.03,104.90,7.18,,
385.2,1529.00,121.00,7.91,,385.2,1529.00,72.60,4.75,,385.2,1529.00,96.80,6.33,,
386.7,1608.26,123.46,7.68,,386.7,1608.26,74.73,4.65,,386.7,1608.26,99.10,6.16,,
388.3,1679.42,128.27,7.64,,388.3,1679.42,72.83,4.34,,388.3,1679.42,100.55,5.99,,
389.8,1759.55,132.86,7.55,,389.8,1759.55,76.86,4.37,,389.8,1759.55,104.86,5.96,,
391.3,1843.67,133.68,7.25,,391.3,1843.67,73.52,3.99,,391.3,1843.67,103.60,5.62,,
392.9,1897.62,133.15,7.02,,392.9,1897.62,81.94,4.32,,392.9,1897.62,107.55,5.67,,
394.4,1955.58,150.75,7.71,,394.4,1955.58,81.90,4.19,,394.4,1955.58,116.33,5.95,,
395.9,2019.02,157.00,7.78,,395.9,2019.02,95.46,4.73,,395.9,2019.02,126.23,6.25,,
397.5,2131.80,160.21,7.52,,397.5,2131.80,95.61,4.48,,397.5,2131.80,127.91,6.00,,
399.0,2240.25,161.92,7.23,,399.0,2240.25,91.46,4.08,,399.0,2240.25,126.69,5.66,,
400.6,2303.62,161.88,7.03,,400.6,2303.62,92.82,4.03,,400.6,2303.62,127.35,5.53,,
402.1,2342.64,155.83,6.65,,402.1,2342.64,90.82,3.88,,402.1,2342.64,123.33,5.26,,
403.6,2375.92,146.73,6.18,,403.6,2375.92,86.31,3.63,,403.6,2375.92,116.52,4.90,,
405.1,2451.81,148.07,6.04,,405.1,2451.81,82.26,3.36,,405.1,2451.81,115.17,4.70,,
406.7,2542.40,153.22,6.03,,406.7,2542.40,82.43,3.24,,406.7,2542.40,117.83,4.63,,
