name= \My Documents\HR1024_Data\D11.,,,,,name= \My Documents\HR1024_Data\D12.,,,,,name= \My Documents\HR1024_Data\D13.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 31.05  8.88  -5.37  32.66  8.88  -5.37,,,,,temp= 31.05  8.88  -5.37  34.11  8.88  -5.44,,,,,temp= 31.05  8.88  -5.37  34.19  8.81  -5.37,,,,,
battery= 7.7  7.6,,,,,battery= 7.7  7.5,,,,,battery= 7.7  7.5,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/12/08 9:49:29 AM  1/12/08 9:51:10 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 9:52:51 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 9:53:13 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: D11:D12:D13
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,468.20,78.99,16.87,,346.4,468.20,72.62,15.51,,346.4,468.20,80.26,17.14,,346.4,468.20,77.29,16.51,,
347.9,473.76,74.05,15.63,,347.9,473.76,74.05,15.63,,347.9,473.76,74.05,15.63,,347.9,473.76,74.05,15.63,,
349.5,521.04,81.12,15.57,,349.5,521.04,76.13,14.61,,349.5,521.04,79.87,15.33,,349.5,521.04,79.04,15.17,,
351.1,558.48,73.63,13.18,,351.1,558.48,76.13,13.63,,351.1,558.48,91.10,16.31,,351.1,558.48,80.29,14.38,,
352.6,585.06,83.49,14.27,,352.6,585.06,73.37,12.54,,352.6,585.06,86.02,14.70,,352.6,585.06,80.96,13.84,,
354.2,625.05,83.78,13.40,,354.2,625.05,77.23,12.36,,354.2,625.05,82.47,13.19,,354.2,625.05,81.16,12.98,,
355.7,673.50,94.29,14.00,,355.7,673.50,86.21,12.80,,355.7,673.50,80.82,12.00,,355.7,673.50,87.11,12.93,,
357.3,724.71,94.32,13.01,,357.3,724.71,81.83,11.29,,357.3,724.71,92.93,12.82,,357.3,724.71,89.69,12.38,,
358.8,751.43,96.46,12.84,,358.8,751.43,86.68,11.53,,358.8,751.43,90.87,12.09,,358.8,751.43,91.34,12.16,,
360.4,798.47,98.49,12.33,,360.4,798.47,94.27,11.81,,360.4,798.47,105.53,13.22,,360.4,798.47,99.43,12.45,,
361.9,821.87,89.15,10.85,,361.9,821.87,97.51,11.86,,361.9,821.87,90.55,11.02,,361.9,821.87,92.40,11.24,,
363.5,851.78,92.80,10.89,,363.5,851.78,90.03,10.57,,363.5,851.78,94.18,11.06,,363.5,851.78,92.34,10.84,,
365.1,887.68,85.99,9.69,,365.1,887.68,88.77,10.00,,365.1,887.68,90.16,10.16,,365.1,887.68,88.31,9.95,,
366.6,918.37,88.38,9.62,,366.6,918.37,85.62,9.32,,366.6,918.37,96.67,10.53,,366.6,918.37,90.22,9.82,,
368.2,973.68,89.98,9.24,,368.2,973.68,87.30,8.97,,368.2,973.68,92.67,9.52,,368.2,973.68,89.98,9.24,,
369.7,1008.89,87.50,8.67,,369.7,1008.89,91.42,9.06,,369.7,1008.89,96.64,9.58,,369.7,1008.89,91.85,9.10,,
371.3,1073.36,82.97,7.73,,371.3,1073.36,82.97,7.73,,371.3,1073.36,98.78,9.20,,371.3,1073.36,88.24,8.22,,
372.8,1148.72,90.30,7.86,,372.8,1148.72,87.65,7.63,,372.8,1148.72,94.29,8.21,,372.8,1148.72,90.75,7.90,,
374.4,1191.49,98.79,8.29,,374.4,1191.49,88.11,7.39,,374.4,1191.49,94.79,7.96,,374.4,1191.49,93.90,7.88,,
375.9,1247.87,99.30,7.96,,375.9,1247.87,82.09,6.58,,375.9,1247.87,90.03,7.21,,375.9,1247.87,90.47,7.25,,
377.4,1278.23,94.97,7.43,,377.4,1278.23,92.37,7.23,,377.4,1278.23,94.97,7.43,,377.4,1278.23,94.10,7.36,,
379.0,1330.29,100.57,7.56,,379.0,1330.29,91.66,6.89,,379.0,1330.29,106.93,8.04,,379.0,1330.29,99.72,7.50,,
380.5,1360.26,91.09,6.70,,380.5,1360.26,81.25,5.97,,380.5,1360.26,92.33,6.79,,380.5,1360.26,88.22,6.49,,
382.1,1412.49,100.47,7.11,,382.1,1412.49,89.83,6.36,,382.1,1412.49,88.65,6.28,,382.1,1412.49,92.98,6.58,,
383.6,1460.03,100.93,6.91,,383.6,1460.03,86.18,5.90,,383.6,1460.03,100.93,6.91,,383.6,1460.03,96.01,6.58,,
385.2,1529.00,90.20,5.90,,385.2,1529.00,79.20,5.18,,385.2,1529.00,86.90,5.68,,385.2,1529.00,85.43,5.59,,
386.7,1608.26,99.64,6.20,,386.7,1608.26,93.14,5.79,,386.7,1608.26,96.39,5.99,,386.7,1608.26,96.39,5.99,,
388.3,1679.42,95.66,5.70,,388.3,1679.42,86.96,5.18,,388.3,1679.42,88.05,5.24,,388.3,1679.42,90.22,5.37,,
389.8,1759.55,86.74,4.93,,389.8,1759.55,94.43,5.37,,389.8,1759.55,99.92,5.68,,389.8,1759.55,93.70,5.33,,
391.3,1843.67,104.72,5.68,,391.3,1843.67,88.01,4.77,,391.3,1843.67,103.60,5.62,,391.3,1843.67,98.78,5.36,,
392.9,1897.62,105.83,5.58,,392.9,1897.62,96.73,5.10,,392.9,1897.62,109.25,5.76,,392.9,1897.62,103.94,5.48,,
394.4,1955.58,106.83,5.46,,394.4,1955.58,98.52,5.04,,394.4,1955.58,113.95,5.83,,394.4,1955.58,106.43,5.44,,
395.9,2019.02,114.30,5.66,,395.9,2019.02,115.55,5.72,,395.9,2019.02,114.30,5.66,,395.9,2019.02,114.72,5.68,,
397.5,2131.80,117.57,5.52,,397.5,2131.80,117.57,5.52,,397.5,2131.80,118.86,5.58,,397.5,2131.80,118.00,5.54,,
399.0,2240.25,122.36,5.46,,399.0,2240.25,114.95,5.13,,399.0,2240.25,118.66,5.30,,399.0,2240.25,118.66,5.30,,
400.6,2303.62,112.07,4.86,,400.6,2303.62,105.28,4.57,,400.6,2303.62,115.46,5.01,,400.6,2303.62,110.94,4.82,,
402.1,2342.64,110.42,4.71,,402.1,2342.64,95.98,4.10,,402.1,2342.64,109.39,4.67,,402.1,2342.64,105.26,4.49,,
403.6,2375.92,107.41,4.52,,403.6,2375.92,98.78,4.16,,403.6,2375.92,101.65,4.28,,403.6,2375.92,102.61,4.32,,
405.1,2451.81,101.45,4.14,,405.1,2451.81,94.14,3.84,,405.1,2451.81,95.97,3.91,,405.1,2451.81,97.19,3.96,,
406.7,2542.40,104.83,4.12,,406.7,2542.40,93.18,3.67,,406.7,2542.40,93.18,3.67,,406.7,2542.40,97.06,3.82,,
408.2,2650.73,109.59,4.13,,408.2,2650.73,98.90,3.73,,408.2,2650.73,98.01,3.70,,408.2,2650.73,102.17,3.85,,
409.7,2746.24,111.10,4.05,,409.7,2746.24,104.83,3.82,,409.7,2746.24,103.94,3.78,,409.7,2746.24,106.62,3.88,,
411.3,2843.51,114.75,4.04,,411.3,2843.51,100.98,3.55,,411.3,2843.51,109.24,3.84,,411.3,2843.51,108.32,3.81,,
412.8,2936.43,122.29,4.16,,412.8,2936.43,110.92,3.78,,412.8,2936.43,117.55,4.00,,412.8,2936.43,116.92,3.98,,
414.3,3034.90,121.40,4.00,,414.3,3034.90,113.56,3.74,,414.3,3034.90,113.56,3.74,,414.3,3034.90,116.17,3.83,,
415.8,3152.50,123.00,3.90,,415.8,3152.50,113.00,3.58,,415.8,3152.50,117.00,3.71,,415.8,3152.50,117.67,3.73,,
417.4,3253.58,130.55,4.01,,417.4,3253.58,119.42,3.67,,417.4,3253.58,130.55,4.01,,417.4,3253.58,126.84,3.90,,
418.9,3339.60,128.52,3.85,,418.9,3339.60,127.51,3.82,,418.9,3339.60,135.61,4.06,,418.9,3339.60,130.55,3.91,,
420.4,3424.70,124.63,3.64,,420.4,3424.70,115.65,3.38,,420.4,3424.70,126.62,3.70,,420.4,3424.70,122.30,3.57,,
421.9,3487.22,129.71,3.72,,421.9,3487.22,119.06,3.41,,421.9,3487.22,124.87,3.58,,421.9,3487.22,124.55,3.57,,
423.5,3546.87,127.96,3.61,,423.5,3546.87,121.42,3.42,,423.5,3546.87,118.62,3.34,,423.5,3546.87,122.67,3.46,,
425.0,3613.98,124.06,3.43,,425.0,3613.98,115.97,3.21,,425.0,3613.98,124.96,3.46,,425.0,3613.98,121.66,3.37,,
426.5,3695.85,129.86,3.51,,426.5,3695.85,115.24,3.12,,426.5,3695.85,124.70,3.37,,426.5,3695.85,123.27,3.34,,
428.0,3801.23,127.26,3.35,,428.0,3801.23,119.05,3.13,,428.0,3801.23,121.51,3.20,,428.0,3801.23,122.61,3.23,,
429.5,3926.30,131.14,3.34,,429.5,3926.30,117.71,3.00,,429.5,3926.30,112.97,2.88,,429.5,3926.30,120.61,3.07,,
431.1,4071.24,130.81,3.21,,431.1,4071.24,113.00,2.78,,431.1,4071.24,119.20,2.93,,431.1,4071.24,121.00,2.97,,
432.6,4225.66,135.34,3.20,,432.6,4225.66,120.73,2.86,,432.6,4225.66,127.65,3.02,,432.6,4225.66,127.91,3.03,,
434.1,4373.60,139.37,3.19,,434.1,4373.60,118.58,2.71,,434.1,4373.60,123.97,2.83,,434.1,4373.60,127.31,2.91,,
435.6,4514.36,143.96,3.19,,435.6,4514.36,126.16,2.79,,435.6,4514.36,129.26,2.86,,435.6,4514.36,133.13,2.95,,
437.1,4642.95,135.72,2.92,,437.1,4642.95,127.92,2.76,,437.1,4642.95,131.04,2.82,,437.1,4642.95,131.56,2.83,,
438.6,4769.06,149.34,3.13,,438.6,4769.06,127.33,2.67,,438.6,4769.06,136.76,2.87,,438.6,4769.06,137.81,2.89,,
440.1,4906.69,149.08,3.04,,440.1,4906.69,129.26,2.63,,440.1,4906.69,138.78,2.83,,440.1,4906.69,139.04,2.83,,
441.6,5042.30,150.59,2.99,,441.6,5042.30,132.97,2.64,,441.6,5042.30,138.57,2.75,,441.6,5042.30,140.71,2.79,,
443.1,5179.95,157.95,3.05,,443.1,5179.95,141.75,2.74,,443.1,5179.95,142.56,2.75,,443.1,5179.95,147.42,2.85,,
444.7,5318.34,161.11,3.03,,444.7,5318.34,148.78,2.80,,444.7,5318.34,153.71,2.89,,444.7,5318.34,154.53,2.91,,
446.2,5433.01,159.14,2.93,,446.2,5433.01,149.88,2.76,,446.2,5433.01,153.24,2.82,,446.2,5433.01,154.09,2.84,,
447.7,5551.25,165.70,2.98,,447.7,5551.25,148.44,2.67,,447.7,5551.25,156.20,2.81,,447.7,5551.25,156.78,2.82,,
449.2,5676.48,164.16,2.89,,449.2,5676.48,152.06,2.68,,449.2,5676.48,161.57,2.85,,449.2,5676.48,159.26,2.81,,
450.7,5788.64,169.73,2.93,,450.7,5788.64,150.59,2.60,,450.7,5788.64,158.91,2.75,,450.7,5788.64,159.74,2.76,,
452.2,5916.62,161.92,2.74,,452.2,5916.62,149.34,2.52,,452.2,5916.62,159.56,2.70,,452.2,5916.62,156.94,2.65,,
453.7,6028.91,166.88,2.77,,453.7,6028.91,148.26,2.46,,453.7,6028.91,155.71,2.58,,453.7,6028.91,156.95,2.60,,
455.2,6201.73,166.58,2.69,,455.2,6201.73,150.78,2.43,,455.2,6201.73,160.83,2.59,,455.2,6201.73,159.40,2.57,,
456.7,6390.56,168.96,2.64,,456.7,6390.56,154.18,2.41,,456.7,6390.56,164.03,2.57,,456.7,6390.56,162.39,2.54,,
458.2,6607.30,177.55,2.69,,458.2,6607.30,153.78,2.33,,458.2,6607.30,164.96,2.50,,458.2,6607.30,165.43,2.50,,
459.7,6823.25,182.00,2.67,,459.7,6823.25,159.60,2.34,,459.7,6823.25,171.50,2.51,,459.7,6823.25,171.03,2.51,,
461.2,7031.76,182.15,2.59,,461.2,7031.76,164.50,2.34,,461.2,7031.76,180.03,2.56,,461.2,7031.76,175.56,2.50,,
