name= \My Documents\HR1024_Data\RD2B1.,,,,,name= \My Documents\HR1024_Data\RD2B2.,,,,,name= \My Documents\HR1024_Data\RD2B3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  1000  60  30,,,,,integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.26  8.88  -5.37  40.31  8.94  -5.30,,,,,temp= 32.26  8.88  -5.37  40.31  8.88  -5.30,,,,,temp= 32.26  8.88  -5.37  40.48  8.94  -5.30,,,,,
battery= 7.0  6.7,,,,,battery= 7.0  6.7,,,,,battery= 7.0  6.7,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/15/08 9:53:06 AM  1/15/08 10:17:33 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 10:18:02 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 10:18:25 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: RD2B1:RD2B2:RD2B3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,59.88,11.75,,346.4,509.60,80.26,15.75,,346.4,509.60,131.22,25.75,,346.4,509.60,90.45,17.75,,
347.9,549.06,64.01,11.66,,347.9,549.06,72.79,13.26,,347.9,549.06,126.76,23.09,,347.9,549.06,87.85,16.00,,
349.5,608.40,58.66,9.64,,349.5,608.40,63.65,10.46,,349.5,608.40,131.04,21.54,,349.5,608.40,84.45,13.88,,
351.1,655.20,59.28,9.05,,351.1,655.20,66.14,10.10,,351.1,655.20,128.54,19.62,,351.1,655.20,84.65,12.92,,
352.6,708.40,60.09,8.48,,352.6,708.40,67.05,9.46,,352.6,708.40,134.09,18.93,,352.6,708.40,87.08,12.29,,
354.2,752.68,66.10,8.78,,354.2,752.68,70.69,9.39,,354.2,752.68,145.30,19.30,,354.2,752.68,94.03,12.49,,
355.7,818.30,70.04,8.56,,355.7,818.30,82.17,10.04,,355.7,818.30,146.82,17.94,,355.7,818.30,99.68,12.18,,
357.3,873.81,65.88,7.54,,357.3,873.81,83.22,9.52,,357.3,873.81,149.80,17.14,,357.3,873.81,99.63,11.40,,
358.8,891.23,65.01,7.29,,358.8,891.23,86.68,9.73,,358.8,891.23,155.18,17.41,,358.8,891.23,102.29,11.48,,
360.4,967.31,70.35,7.27,,360.4,967.31,91.46,9.45,,360.4,967.31,156.18,16.15,,360.4,967.31,106.00,10.96,,
361.9,1009.93,66.17,6.55,,361.9,1009.93,87.76,8.69,,361.9,1009.93,150.44,14.90,,361.9,1009.93,101.46,10.05,,
363.5,1059.53,68.56,6.47,,363.5,1059.53,87.26,8.24,,363.5,1059.53,159.28,15.03,,363.5,1059.53,105.03,9.91,,
365.1,1102.67,67.27,6.10,,365.1,1102.67,80.45,7.30,,365.1,1102.67,159.51,14.47,,365.1,1102.67,102.41,9.29,,
366.6,1156.59,77.34,6.69,,366.6,1156.59,92.53,8.00,,366.6,1156.59,161.58,13.97,,366.6,1156.59,110.48,9.55,,
368.2,1218.77,70.51,5.79,,368.2,1218.77,89.98,7.38,,368.2,1218.77,165.19,13.55,,368.2,1218.77,108.56,8.91,,
369.7,1306.00,73.79,5.65,,369.7,1306.00,86.20,6.60,,369.7,1306.00,168.47,12.90,,369.7,1306.00,109.49,8.38,,
371.3,1379.56,76.39,5.54,,371.3,1379.56,84.29,6.11,,371.3,1379.56,164.63,11.93,,371.3,1379.56,108.44,7.86,,
372.8,1457.48,76.36,5.24,,372.8,1457.48,87.65,6.01,,372.8,1457.48,168.66,11.57,,372.8,1457.48,110.89,7.61,,
374.4,1528.58,72.09,4.72,,374.4,1528.58,93.45,6.11,,374.4,1528.58,169.55,11.09,,374.4,1528.58,111.70,7.31,,
375.9,1575.56,76.79,4.87,,375.9,1575.56,84.74,5.38,,375.9,1575.56,169.47,10.76,,375.9,1575.56,110.33,7.00,,
377.4,1632.76,72.21,4.42,,377.4,1632.76,87.17,5.34,,377.4,1632.76,171.73,10.52,,377.4,1632.76,110.37,6.76,,
