name= \My Documents\HR1024_Data\RD2S13.,,,,,name= \My Documents\HR1024_Data\RD2S14.,,,,,name= \My Documents\HR1024_Data\RD2S15.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  400  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.26  8.88  -5.37  39.51  8.94  -5.24,,,,,temp= 32.26  8.88  -5.37  39.51  8.94  -5.24,,,,,temp= 32.26  8.88  -5.37  39.67  8.94  -5.30,,,,,
battery= 7.0  6.7,,,,,battery= 7.0  6.7,,,,,battery= 7.0  6.7,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/15/08 9:53:06 AM  1/15/08 10:13:20 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 10:13:47 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 10:14:19 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: RD2S13:RD2S14:RD2S15
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,509.60,113.39,22.25,,346.4,509.60,149.70,29.38,,346.4,509.60,171.99,33.75,,346.4,509.60,145.03,28.46,,
347.9,549.06,126.76,23.09,,347.9,549.06,156.88,28.57,,347.9,549.06,169.43,30.86,,347.9,549.06,151.02,27.51,,
349.5,608.40,114.82,18.87,,349.5,608.40,156.00,25.64,,349.5,608.40,177.84,29.23,,349.5,608.40,149.55,24.58,,
351.1,655.20,122.30,18.67,,351.1,655.20,163.80,25.00,,351.1,655.20,179.40,27.38,,351.1,655.20,155.17,23.68,,
352.6,708.40,130.30,18.39,,352.6,708.40,153.38,21.65,,352.6,708.40,178.68,25.22,,352.6,708.40,154.12,21.76,,
354.2,752.68,120.43,16.00,,354.2,752.68,158.72,21.09,,354.2,752.68,186.53,24.78,,354.2,752.68,155.23,20.62,,
355.7,818.30,129.31,15.80,,355.7,818.30,175.11,21.40,,355.7,818.30,202.05,24.69,,355.7,818.30,168.82,20.63,,
357.3,873.81,135.93,15.56,,357.3,873.81,183.78,21.03,,357.3,873.81,202.85,23.21,,357.3,873.81,174.19,19.93,,
358.8,891.23,135.61,15.22,,358.8,891.23,186.98,20.98,,358.8,891.23,204.46,22.94,,358.8,891.23,175.68,19.71,,
360.4,967.31,137.89,14.25,,360.4,967.31,186.43,19.27,,360.4,967.31,209.29,21.64,,360.4,967.31,177.87,18.39,,
361.9,1009.93,139.30,13.79,,361.9,1009.93,193.28,19.14,,361.9,1009.93,208.95,20.69,,361.9,1009.93,180.51,17.87,,
363.5,1059.53,149.58,14.12,,363.5,1059.53,190.44,17.97,,363.5,1059.53,225.06,21.24,,363.5,1059.53,188.36,17.78,,
365.1,1102.67,140.09,12.70,,365.1,1102.67,180.31,16.35,,365.1,1102.67,213.25,19.34,,365.1,1102.67,177.88,16.13,,
366.6,1156.59,140.86,12.18,,366.6,1156.59,200.25,17.31,,366.6,1156.59,219.23,18.96,,366.6,1156.59,186.78,16.15,,
368.2,1218.77,142.36,11.68,,368.2,1218.77,188.02,15.43,,368.2,1218.77,219.92,18.04,,368.2,1218.77,183.43,15.05,,
369.7,1306.00,144.97,11.10,,369.7,1306.00,184.47,14.13,,369.7,1306.00,217.12,16.63,,369.7,1306.00,182.19,13.95,,
371.3,1379.56,142.24,10.31,,371.3,1379.56,192.61,13.96,,371.3,1379.56,222.24,16.11,,371.3,1379.56,185.70,13.46,,
372.8,1457.48,132.80,9.11,,372.8,1457.48,197.54,13.55,,372.8,1457.48,220.78,15.15,,372.8,1457.48,183.71,12.60,,
374.4,1528.58,146.85,9.61,,374.4,1528.58,205.26,13.43,,374.4,1528.58,226.95,14.85,,374.4,1528.58,193.02,12.63,,
375.9,1575.56,148.29,9.41,,375.9,1575.56,200.26,12.71,,375.9,1575.56,231.70,14.71,,375.9,1575.56,193.42,12.28,,
377.4,1632.76,145.71,8.92,,377.4,1632.76,195.15,11.95,,377.4,1632.76,227.68,13.94,,377.4,1632.76,189.51,11.61,,
