name= \My Documents\HR1024_Data\RD2T1.,,,,,name= \My Documents\HR1024_Data\RD2T2.,,,,,name= \My Documents\HR1024_Data\RD2T3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  400  60  30,,,,,integration= 200  60  30  400  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.26  8.88  -5.37  33.87  8.88  -5.30,,,,,temp= 32.26  8.88  -5.37  34.51  8.88  -5.37,,,,,temp= 32.26  8.88  -5.37  34.92  8.88  -5.37,,,,,
battery= 7.0  7.0,,,,,battery= 7.0  7.0,,,,,battery= 7.0  7.0,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/15/08 9:53:06 AM  1/15/08 9:55:11 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 9:56:28 AM,,,,,time= 1/15/08 9:53:06 AM  1/15/08 9:57:04 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: RD2T1:RD2T2:RD2T3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,375.83,146.51,38.98,,346.4,375.83,152.88,40.68,,346.4,375.83,135.36,36.02,,346.4,375.83,144.92,38.56,,
347.9,401.60,152.17,37.89,,347.9,401.60,156.88,39.06,,347.9,401.60,134.91,33.59,,347.9,401.60,147.99,36.85,,
349.5,421.20,149.76,35.56,,349.5,421.20,157.56,37.41,,349.5,421.20,137.28,32.59,,349.5,421.20,148.20,35.19,,
351.1,468.00,156.00,33.33,,351.1,468.00,163.80,35.00,,351.1,468.00,143.52,30.67,,351.1,468.00,154.44,33.00,,
352.6,493.35,156.54,31.73,,352.6,493.35,164.45,33.33,,352.6,493.35,150.22,30.45,,352.6,493.35,157.07,31.84,,
354.2,533.42,161.99,30.37,,354.2,533.42,171.81,32.21,,354.2,533.42,155.44,29.14,,354.2,533.42,163.08,30.57,,
355.7,575.84,173.43,30.12,,355.7,575.84,176.79,30.70,,355.7,575.84,156.59,27.19,,355.7,575.84,168.94,29.34,,
357.3,603.35,182.04,30.17,,357.3,603.35,182.04,30.17,,357.3,603.35,164.71,27.30,,357.3,603.35,176.26,29.21,,
358.8,618.62,181.74,29.38,,358.8,618.62,188.73,30.51,,358.8,618.62,173.00,27.97,,358.8,618.62,181.16,29.28,,
360.4,650.74,182.91,28.11,,360.4,650.74,186.43,28.65,,360.4,650.74,167.08,25.68,,360.4,650.74,178.81,27.48,,
361.9,682.57,181.09,26.53,,361.9,682.57,200.24,29.34,,361.9,682.57,172.38,25.26,,361.9,682.57,184.57,27.04,,
363.5,713.28,176.59,24.76,,363.5,713.28,186.98,26.21,,363.5,713.28,167.93,23.54,,363.5,713.28,177.17,24.84,,
365.1,728.18,192.45,26.43,,365.1,728.18,197.65,27.14,,365.1,728.18,178.58,24.52,,365.1,728.18,189.56,26.03,,
366.6,776.81,182.98,23.56,,366.6,776.81,188.16,24.22,,366.6,776.81,169.17,21.78,,366.6,776.81,180.10,23.18,,
368.2,809.16,181.31,22.41,,368.2,809.16,193.06,23.86,,368.2,809.16,171.23,21.16,,368.2,809.16,181.87,22.48,,
369.7,848.90,187.74,22.12,,369.7,848.90,191.00,22.50,,369.7,848.90,169.78,20.00,,369.7,848.90,182.84,21.54,,
371.3,908.73,186.03,20.47,,371.3,908.73,199.20,21.92,,371.3,908.73,171.21,18.84,,371.3,908.73,185.48,20.41,,
372.8,949.52,180.94,19.06,,372.8,949.52,204.18,21.50,,372.8,949.52,180.94,19.06,,372.8,949.52,188.69,19.87,,
374.4,997.91,196.91,19.73,,374.4,997.91,206.93,20.74,,374.4,997.91,180.23,18.06,,374.4,997.91,194.69,19.51,,
375.9,1022.79,196.95,19.26,,375.9,1022.79,195.29,19.09,,375.9,1022.79,187.02,18.28,,375.9,1022.79,193.09,18.88,,
377.4,1047.31,183.77,17.55,,377.4,1047.31,195.15,18.63,,377.4,1047.31,185.39,17.70,,377.4,1047.31,188.10,17.96,,
379.0,1094.78,195.72,17.88,,379.0,1094.78,197.32,18.02,,379.0,1094.78,175.04,15.99,,379.0,1094.78,189.36,17.30,,
380.5,1126.37,181.57,16.12,,380.5,1126.37,200.04,17.76,,380.5,1126.37,178.50,15.85,,380.5,1126.37,186.70,16.58,,
382.1,1152.45,181.73,15.77,,382.1,1152.45,196.51,17.05,,382.1,1152.45,171.39,14.87,,382.1,1152.45,183.21,15.90,,
383.6,1185.03,184.28,15.55,,383.6,1185.03,195.62,16.51,,383.6,1185.03,175.77,14.83,,383.6,1185.03,185.22,15.63,,
385.2,1243.00,185.63,14.93,,385.2,1243.00,193.88,15.60,,385.2,1243.00,166.38,13.38,,385.2,1243.00,181.96,14.64,,
386.7,1294.19,186.82,14.44,,386.7,1294.19,197.65,15.27,,386.7,1294.19,171.93,13.28,,386.7,1294.19,185.47,14.33,,
388.3,1366.90,187.51,13.72,,388.3,1366.90,203.81,14.91,,388.3,1366.90,178.00,13.02,,388.3,1366.90,189.77,13.88,,
389.8,1427.40,186.66,13.08,,389.8,1427.40,200.39,14.04,,389.8,1427.40,179.80,12.60,,389.8,1427.40,188.95,13.24,,
391.3,1481.62,196.34,13.25,,391.3,1481.62,210.27,14.19,,391.3,1481.62,186.60,12.59,,391.3,1481.62,197.74,13.35,,
392.9,1519.23,204.84,13.48,,392.9,1519.23,211.95,13.95,,392.9,1519.23,193.46,12.73,,392.9,1519.23,203.42,13.39,,
394.4,1563.87,212.18,13.57,,394.4,1563.87,224.05,14.33,,394.4,1563.87,192.89,12.33,,394.4,1563.87,209.71,13.41,,
395.9,1623.38,215.09,13.25,,395.9,1623.38,237.07,14.60,,395.9,1623.38,208.81,12.86,,395.9,1623.38,220.32,13.57,,
397.5,1708.67,229.33,13.42,,397.5,1708.67,237.41,13.89,,397.5,1708.67,208.34,12.19,,397.5,1708.67,225.03,13.17,,
399.0,1779.84,220.94,12.41,,399.0,1779.84,237.93,13.37,,399.0,1779.84,214.76,12.07,,399.0,1779.84,224.54,12.62,,
400.6,1831.01,216.50,11.82,,400.6,1831.01,233.48,12.75,,400.6,1831.01,202.35,11.05,,400.6,1831.01,217.44,11.88,,
402.1,1862.76,212.85,11.43,,402.1,1862.76,221.88,11.91,,402.1,1862.76,199.95,10.73,,402.1,1862.76,211.56,11.36,,
403.6,1891.63,202.59,10.71,,403.6,1891.63,214.58,11.34,,403.6,1891.63,194.20,10.27,,403.6,1891.63,203.79,10.77,,
405.1,1933.11,201.08,10.40,,405.1,1933.11,209.08,10.82,,405.1,1933.11,183.94,9.52,,405.1,1933.11,198.03,10.24,,
406.7,2009.28,200.48,9.98,,406.7,2009.28,215.04,10.70,,406.7,2009.28,190.40,9.48,,406.7,2009.28,201.97,10.05,,
408.2,2091.62,204.93,9.80,,408.2,2091.62,217.18,10.38,,408.2,2091.62,190.45,9.11,,408.2,2091.62,204.19,9.76,,
409.7,2154.88,206.08,9.56,,409.7,2154.88,225.12,10.45,,409.7,2154.88,202.72,9.41,,409.7,2154.88,211.31,9.81,,
411.3,2228.45,218.03,9.78,,411.3,2228.45,231.80,10.40,,411.3,2228.45,207.70,9.32,,411.3,2228.45,219.18,9.84,,
412.8,2294.16,222.78,9.71,,412.8,2294.16,235.82,10.28,,412.8,2294.16,212.12,9.25,,412.8,2294.16,223.57,9.75,,
414.3,2364.29,234.96,9.94,,414.3,2364.29,242.30,10.25,,414.3,2364.29,214.16,9.06,,414.3,2364.29,230.47,9.75,,
415.8,2445.00,236.25,9.66,,415.8,2445.00,247.50,10.12,,415.8,2445.00,223.75,9.15,,415.8,2445.00,235.83,9.65,,
417.4,2522.41,241.62,9.58,,417.4,2522.41,260.59,10.33,,417.4,2522.41,222.64,8.83,,417.4,2522.41,241.62,9.58,,
418.9,2590.72,250.47,9.67,,418.9,2590.72,264.39,10.21,,418.9,2590.72,230.23,8.89,,418.9,2590.72,248.36,9.59,,
420.4,2642.05,255.48,9.67,,420.4,2642.05,266.70,10.09,,420.4,2642.05,230.56,8.73,,420.4,2642.05,250.91,9.50,,
421.9,2693.46,251.68,9.34,,421.9,2693.46,264.99,9.84,,421.9,2693.46,231.11,8.58,,421.9,2693.46,249.26,9.25,,
423.5,2729.62,246.34,9.02,,423.5,2729.62,268.53,9.84,,423.5,2729.62,231.17,8.47,,423.5,2729.62,248.68,9.11,,
425.0,2782.41,244.98,8.80,,425.0,2782.41,265.21,9.53,,425.0,2782.41,230.37,8.28,,425.0,2782.41,246.85,8.87,,
426.5,2840.15,242.95,8.55,,426.5,2840.15,265.53,9.35,,426.5,2840.15,228.98,8.06,,426.5,2840.15,245.82,8.66,,
428.0,2918.66,244.25,8.37,,428.0,2918.66,266.83,9.14,,428.0,2918.66,229.88,7.88,,428.0,2918.66,246.99,8.46,,
429.5,3015.83,247.86,8.22,,429.5,3015.83,267.61,8.87,,429.5,3015.83,232.06,7.69,,429.5,3015.83,249.18,8.26,,
431.1,3123.09,253.49,8.12,,431.1,3123.09,272.84,8.74,,431.1,3123.09,240.91,7.71,,431.1,3123.09,255.75,8.19,,
432.6,3239.41,259.54,8.01,,432.6,3239.41,277.80,8.58,,432.6,3239.41,244.16,7.54,,432.6,3239.41,260.50,8.04,,
434.1,3347.58,260.84,7.79,,434.1,3347.58,288.75,8.63,,434.1,3347.58,249.29,7.45,,434.1,3347.58,266.29,7.95,,
435.6,3461.72,273.80,7.91,,435.6,3461.72,291.22,8.41,,435.6,3461.72,259.29,7.49,,435.6,3461.72,274.77,7.94,,
437.1,3568.50,276.90,7.76,,437.1,3568.50,299.33,8.39,,437.1,3568.50,263.25,7.38,,437.1,3568.50,279.83,7.84,,
438.6,3662.76,282.96,7.73,,438.6,3662.76,301.63,8.23,,438.6,3662.76,263.31,7.19,,438.6,3662.76,282.63,7.72,,
440.1,3754.86,288.45,7.68,,440.1,3754.86,310.26,8.26,,440.1,3754.86,272.59,7.26,,440.1,3754.86,290.43,7.73,,
441.6,3864.83,292.37,7.56,,441.6,3864.83,320.40,8.29,,441.6,3864.83,269.34,6.97,,441.6,3864.83,294.04,7.61,,
443.1,3969.00,300.71,7.58,,443.1,3969.00,328.05,8.27,,443.1,3969.00,282.49,7.12,,443.1,3969.00,303.75,7.65,,
444.7,4062.74,307.22,7.56,,444.7,4062.74,332.91,8.19,,444.7,4062.74,284.62,7.01,,444.7,4062.74,308.25,7.59,,
446.2,4148.96,313.65,7.56,,446.2,4148.96,341.01,8.22,,446.2,4148.96,295.75,7.13,,446.2,4148.96,316.80,7.64,,
447.7,4228.70,318.23,7.53,,447.7,4228.70,346.28,8.19,,447.7,4228.70,297.74,7.04,,447.7,4228.70,320.75,7.59,,
449.2,4326.48,329.40,7.61,,449.2,4326.48,357.48,8.26,,449.2,4326.48,301.32,6.96,,449.2,4326.48,329.40,7.61,,
