name= \My Documents\HR1024_Data\RD3S10.,,,,,name= \My Documents\HR1024_Data\RD3S11.,,,,,name= \My Documents\HR1024_Data\RD3S12.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,integration= 200  60  30  200  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 32.98  8.88  -5.37  42.01  8.94  -5.30,,,,,temp= 32.98  8.88  -5.37  42.01  8.94  -5.30,,,,,temp= 32.98  8.88  -5.37  42.57  8.88  -5.24,,,,,
battery= 7.6  7.0,,,,,battery= 7.6  7.0,,,,,battery= 7.6  7.0,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/26/08 10:33:54 AM  1/26/08 11:07:22 AM,,,,,time= 1/26/08 10:33:54 AM  1/26/08 11:07:54 AM,,,,,time= 1/26/08 10:33:54 AM  1/26/08 11:11:16 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: RD3S10:RD3S11:RD3S12
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,598.78,210.21,35.11,,346.4,598.78,207.03,34.57,,346.4,598.78,207.03,34.57,,346.4,598.78,208.09,34.75,,
347.9,627.50,222.76,35.50,,347.9,627.50,216.49,34.50,,347.9,627.50,225.90,36.00,,347.9,627.50,221.72,35.33,,
349.5,677.04,212.16,31.34,,349.5,677.04,218.40,32.26,,349.5,677.04,218.40,32.26,,349.5,677.04,216.32,31.95,,
351.1,739.44,221.52,29.96,,351.1,739.44,218.40,29.54,,351.1,739.44,224.64,30.38,,351.1,739.44,221.52,29.96,,
352.6,790.63,230.86,29.20,,352.6,790.63,227.70,28.80,,352.6,790.63,234.03,29.60,,352.6,790.63,230.86,29.20,,
354.2,841.03,235.62,28.02,,354.2,841.03,232.35,27.63,,354.2,841.03,232.35,27.63,,354.2,841.03,233.44,27.76,,
355.7,912.59,255.93,28.04,,355.7,912.59,242.46,26.57,,355.7,912.59,255.93,28.04,,355.7,912.59,251.44,27.55,,
357.3,974.37,267.00,27.40,,357.3,974.37,267.00,27.40,,357.3,974.37,260.06,26.69,,357.3,974.37,264.69,27.16,,
358.8,992.58,255.14,25.70,,358.8,992.58,258.63,26.06,,358.8,992.58,269.12,27.11,,358.8,992.58,260.96,26.29,,
360.4,1062.29,274.37,25.83,,360.4,1062.29,284.92,26.82,,360.4,1062.29,270.85,25.50,,360.4,1062.29,276.71,26.05,,
361.9,1117.88,292.53,26.17,,361.9,1117.88,278.60,24.92,,361.9,1117.88,292.53,26.17,,361.9,1117.88,287.89,25.75,,
363.5,1149.55,290.85,25.30,,363.5,1149.55,280.46,24.40,,363.5,1149.55,297.78,25.90,,363.5,1149.55,289.70,25.20,,
365.1,1196.29,284.34,23.77,,365.1,1196.29,291.27,24.35,,365.1,1196.29,270.47,22.61,,365.1,1196.29,282.03,23.58,,
366.6,1260.16,286.56,22.74,,366.6,1260.16,296.92,23.56,,366.6,1260.16,296.92,23.56,,366.6,1260.16,293.47,23.29,,
368.2,1349.72,288.75,21.39,,368.2,1349.72,292.10,21.64,,368.2,1349.72,298.82,22.14,,368.2,1349.72,293.22,21.72,,
369.7,1403.95,303.65,21.63,,369.7,1403.95,290.59,20.70,,369.7,1403.95,303.65,21.63,,369.7,1403.95,299.30,21.32,,
371.3,1488.21,316.08,21.24,,371.3,1488.21,302.91,20.35,,371.3,1488.21,309.50,20.80,,371.3,1488.21,309.50,20.80,,
372.8,1577.00,332.00,21.05,,372.8,1577.00,308.76,19.58,,372.8,1577.00,328.68,20.84,,372.8,1577.00,323.15,20.49,,
374.4,1638.71,333.75,20.37,,374.4,1638.71,323.74,19.76,,374.4,1638.71,330.41,20.16,,374.4,1638.71,329.30,20.10,,
375.9,1688.10,327.69,19.41,,375.9,1688.10,324.38,19.22,,375.9,1688.10,334.31,19.80,,375.9,1688.10,328.79,19.48,,
377.4,1740.09,348.02,20.00,,377.4,1740.09,328.50,18.88,,377.4,1740.09,322.00,18.50,,377.4,1740.09,332.84,19.13,,
379.0,1788.57,356.44,19.93,,379.0,1788.57,324.62,18.15,,379.0,1788.57,330.98,18.51,,379.0,1788.57,337.35,18.86,,
380.5,1855.73,356.99,19.24,,380.5,1855.73,335.45,18.08,,380.5,1855.73,329.29,17.74,,380.5,1855.73,340.58,18.35,,
382.1,1905.98,360.51,18.91,,382.1,1905.98,322.10,16.90,,382.1,1905.98,339.83,17.83,,382.1,1905.98,340.81,17.88,,
383.6,1973.16,345.87,17.53,,383.6,1973.16,328.86,16.67,,383.6,1973.16,334.53,16.95,,383.6,1973.16,336.42,17.05,,
385.2,2065.25,354.75,17.18,,385.2,2065.25,335.50,16.25,,385.2,2065.25,346.50,16.78,,385.2,2065.25,345.58,16.73,,
386.7,2149.76,373.64,17.38,,386.7,2149.76,335.73,15.62,,386.7,2149.76,349.27,16.25,,386.7,2149.76,352.88,16.41,,
388.3,2271.83,377.73,16.63,,388.3,2271.83,350.56,15.43,,388.3,2271.83,364.15,16.03,,388.3,2271.83,364.15,16.03,,
389.8,2363.45,389.79,16.49,,389.8,2363.45,359.60,15.21,,389.8,2363.45,367.83,15.56,,389.8,2363.45,372.41,15.76,,
391.3,2453.59,401.04,16.35,,391.3,2453.59,375.98,15.32,,391.3,2453.59,384.33,15.66,,391.3,2453.59,387.12,15.78,,
392.9,2526.36,409.68,16.22,,392.9,2526.36,375.54,14.86,,392.9,2526.36,389.77,15.43,,392.9,2526.36,391.66,15.50,,
394.4,2602.50,424.35,16.31,,394.4,2602.50,385.78,14.82,,394.4,2602.50,412.48,15.85,,394.4,2602.50,407.54,15.66,,
395.9,2690.98,442.74,16.45,,395.9,2690.98,405.06,15.05,,395.9,2690.98,420.76,15.64,,395.9,2690.98,422.85,15.71,,
397.5,2829.48,458.66,16.21,,397.5,2829.48,423.13,14.95,,397.5,2829.48,448.97,15.87,,397.5,2829.48,443.59,15.68,,
399.0,2963.31,472.77,15.95,,399.0,2963.31,417.15,14.08,,399.0,2963.31,451.14,15.22,,399.0,2963.31,447.02,15.09,,
400.6,3033.76,469.78,15.49,,400.6,3033.76,413.18,13.62,,400.6,3033.76,441.48,14.55,,400.6,3033.76,441.48,14.55,,
402.1,3072.78,456.66,14.86,,402.1,3072.78,415.38,13.52,,402.1,3072.78,430.86,14.02,,402.1,3072.78,434.30,14.13,,
403.6,3116.75,448.33,14.38,,403.6,3116.75,407.58,13.08,,403.6,3116.75,421.96,13.54,,403.6,3116.75,425.96,13.67,,
405.1,3199.00,452.43,14.14,,405.1,3199.00,397.59,12.43,,405.1,3199.00,420.44,13.14,,405.1,3199.00,423.49,13.24,,
406.7,3304.00,456.96,13.83,,406.7,3304.00,405.44,12.27,,406.7,3304.00,436.80,13.22,,406.7,3304.00,433.07,13.11,,
408.2,3412.53,461.09,13.51,,408.2,3412.53,418.77,12.27,,408.2,3412.53,434.36,12.73,,408.2,3412.53,438.07,12.84,,
409.7,3521.28,477.12,13.55,,409.7,3521.28,427.84,12.15,,409.7,3521.28,456.96,12.98,,409.7,3521.28,453.97,12.89,,
411.3,3642.17,493.43,13.55,,411.3,3642.17,438.35,12.04,,411.3,3642.17,461.30,12.67,,411.3,3642.17,464.36,12.75,,
412.8,3732.75,502.44,13.46,,412.8,3732.75,455.04,12.19,,412.8,3732.75,469.26,12.57,,412.8,3732.75,475.58,12.74,,
414.3,3845.02,516.42,13.43,,414.3,3845.02,462.58,12.03,,414.3,3845.02,494.40,12.86,,414.3,3845.02,491.13,12.77,,
415.8,3965.00,545.00,13.75,,415.8,3965.00,482.50,12.17,,415.8,3965.00,500.00,12.61,,415.8,3965.00,509.17,12.84,,
417.4,4085.95,543.95,13.31,,417.4,4085.95,485.76,11.89,,417.4,4085.95,521.18,12.76,,417.4,4085.95,516.96,12.65,,
418.9,4192.21,554.07,13.22,,418.9,4192.21,500.94,11.95,,418.9,4192.21,523.71,12.49,,418.9,4192.21,526.24,12.55,,
420.4,4267.16,565.80,13.26,,420.4,4267.16,508.47,11.92,,420.4,4267.16,525.92,12.32,,420.4,4267.16,533.40,12.50,,
421.9,4346.32,568.70,13.08,,421.9,4346.32,498.52,11.47,,421.9,4346.32,537.24,12.36,,421.9,4346.32,534.82,12.31,,
423.5,4413.15,576.75,13.07,,423.5,4413.15,509.03,11.53,,423.5,4413.15,530.05,12.01,,423.5,4413.15,538.61,12.20,,
425.0,4492.75,575.36,12.81,,425.0,4492.75,507.94,11.31,,425.0,4492.75,530.41,11.81,,425.0,4492.75,537.90,11.97,,
426.5,4594.55,578.35,12.59,,426.5,4594.55,507.40,11.04,,426.5,4594.55,546.10,11.89,,426.5,4594.55,543.95,11.84,,
428.0,4712.54,587.02,12.46,,428.0,4712.54,515.18,10.93,,428.0,4712.54,552.12,11.72,,428.0,4712.54,551.44,11.70,,
429.5,4856.53,590.53,12.16,,429.5,4856.53,521.40,10.74,,429.5,4856.53,554.98,11.43,,429.5,4856.53,555.64,11.44,,
431.1,5025.20,611.46,12.17,,431.1,5025.20,539.87,10.74,,431.1,5025.20,563.09,11.21,,431.1,5025.20,571.47,11.37,,
432.6,5198.44,620.97,11.95,,432.6,5198.44,540.22,10.39,,432.6,5198.44,582.52,11.21,,432.6,5198.44,581.24,11.18,,
434.1,5370.75,641.03,11.94,,434.1,5370.75,556.33,10.36,,434.1,5370.75,594.83,11.08,,434.1,5370.75,597.40,11.12,,
435.6,5520.56,652.10,11.81,,435.6,5520.56,574.70,10.41,,435.6,5520.56,607.59,11.01,,435.6,5520.56,611.46,11.08,,
437.1,5670.60,674.70,11.90,,437.1,5670.60,586.95,10.35,,437.1,5670.60,625.95,11.04,,437.1,5670.60,629.20,11.10,,
438.6,5806.58,693.65,11.95,,438.6,5806.58,595.40,10.25,,438.6,5806.58,628.80,10.83,,438.6,5806.58,639.28,11.01,,
440.1,5943.54,693.88,11.67,,440.1,5943.54,602.68,10.14,,440.1,5943.54,644.31,10.84,,440.1,5943.54,646.96,10.89,,
441.6,6091.61,706.88,11.60,,441.6,6091.61,622.78,10.22,,441.6,6091.61,656.82,10.78,,441.6,6091.61,662.16,10.87,,
443.1,6230.93,729.00,11.70,,443.1,6230.93,629.78,10.11,,443.1,6230.93,668.25,10.72,,443.1,6230.93,675.68,10.84,,
444.7,6356.12,735.69,11.57,,444.7,6356.12,647.33,10.18,,444.7,6356.12,680.21,10.70,,444.7,6356.12,687.74,10.82,,
446.2,6474.98,747.28,11.54,,446.2,6474.98,646.24,9.98,,446.2,6474.98,686.23,10.60,,446.2,6474.98,693.25,10.71,,
447.7,6582.53,763.76,11.60,,447.7,6582.53,666.67,10.13,,447.7,6582.53,705.50,10.72,,447.7,6582.53,711.98,10.82,,
449.2,6691.68,766.80,11.46,,449.2,6691.68,669.60,10.01,,449.2,6691.68,710.64,10.62,,449.2,6691.68,715.68,10.70,,
450.7,6814.08,765.44,11.23,,450.7,6814.08,669.76,9.83,,450.7,6814.08,715.52,10.50,,450.7,6814.08,716.91,10.52,,
452.2,6930.56,784.04,11.31,,452.2,6930.56,677.93,9.78,,452.2,6930.56,723.12,10.43,,452.2,6930.56,728.36,10.51,,
453.7,7066.33,784.11,11.10,,453.7,7066.33,679.81,9.62,,453.7,7066.33,722.65,10.23,,453.7,7066.33,728.86,10.31,,
