name= \My Documents\HR1024_Data\RD4B1.,,,,,name= \My Documents\HR1024_Data\RD4B3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 400  60  30  500  60  30,,,,,integration= 400  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.87  8.81  -5.37  36.21  8.88  -5.37,,,,,temp= 33.87  8.81  -5.37  36.45  8.88  -5.37,,,,,
battery= 7.1  7.0,,,,,battery= 7.1  7.0,,,,,
error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 2/3/08 11:48:15 AM  2/3/08 11:54:40 AM,,,,,time= 2/3/08 11:48:15 AM  2/3/08 11:55:19 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,
,,,,,,,,,,AVERAGE OF INPUT FILES: RD4B1:RD4B3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,300.98,100.65,33.44,,346.4,300.98,104.47,34.71,,346.4,300.98,102.56,34.08,,
347.9,318.46,106.68,33.50,,347.9,318.46,106.68,33.50,,347.9,318.46,106.68,33.50,,
349.5,343.20,109.82,32.00,,349.5,343.20,108.58,31.64,,349.5,343.20,109.20,31.82,,
351.1,374.40,106.08,28.33,,351.1,374.40,102.34,27.33,,351.1,374.40,104.21,27.83,,
352.6,409.54,110.06,26.87,,352.6,409.54,115.12,28.11,,352.6,409.54,112.59,27.49,,
354.2,435.24,115.19,26.47,,354.2,435.24,121.74,27.97,,354.2,435.24,118.47,27.22,,
355.7,456.30,129.31,28.34,,355.7,456.30,119.88,26.27,,355.7,456.30,124.60,27.31,,
357.3,495.85,123.44,24.90,,357.3,495.85,124.83,25.17,,357.3,495.85,124.14,25.03,,
358.8,506.78,128.62,25.38,,358.8,506.78,124.42,24.55,,358.8,506.78,126.52,24.97,,
360.4,548.73,130.85,23.85,,360.4,548.73,125.22,22.82,,360.4,548.73,128.04,23.33,,
361.9,565.91,135.12,23.88,,361.9,565.91,139.30,24.62,,361.9,565.91,137.21,24.25,,
363.5,593.82,137.12,23.09,,363.5,593.82,142.66,24.02,,363.5,593.82,139.89,23.56,,
365.1,620.68,126.22,20.34,,365.1,620.68,135.93,21.90,,365.1,620.68,131.08,21.12,,
366.6,647.34,139.48,21.55,,366.6,647.34,132.58,20.48,,366.6,647.34,136.03,21.01,,
368.2,683.25,139.67,20.44,,368.2,683.25,139.67,20.44,,368.2,683.25,139.67,20.44,,
369.7,726.46,127.99,17.62,,369.7,726.46,129.29,17.80,,369.7,726.46,128.64,17.71,,
371.3,772.09,135.65,17.57,,371.3,772.09,147.50,19.10,,371.3,772.09,141.58,18.34,,
372.8,813.40,142.10,17.47,,372.8,813.40,148.74,18.29,,372.8,813.40,145.42,17.88,,
374.4,856.07,145.52,17.00,,374.4,856.07,142.85,16.69,,374.4,856.07,144.19,16.84,,
375.9,883.77,150.94,17.08,,375.9,883.77,144.32,16.33,,375.9,883.77,147.63,16.70,,
377.4,909.07,144.41,15.89,,377.4,909.07,153.52,16.89,,377.4,909.07,148.97,16.39,,
379.0,945.20,150.21,15.89,,379.0,945.20,164.22,17.37,,379.0,945.20,157.22,16.63,,
380.5,966.34,151.41,15.67,,380.5,966.34,153.88,15.92,,380.5,966.34,152.65,15.80,,
382.1,1004.70,148.93,14.82,,382.1,1004.70,154.84,15.41,,382.1,1004.70,151.89,15.12,,
383.6,1031.94,145.15,14.07,,383.6,1031.94,146.29,14.18,,383.6,1031.94,145.72,14.12,,
385.2,1082.13,150.70,13.93,,385.2,1082.13,143.00,13.21,,385.2,1082.13,146.85,13.57,,
386.7,1134.44,148.37,13.08,,386.7,1134.44,150.54,13.27,,386.7,1134.44,149.46,13.17,,
388.3,1183.47,153.27,12.95,,388.3,1183.47,156.53,13.23,,388.3,1183.47,154.90,13.09,,
389.8,1236.62,150.43,12.16,,389.8,1236.62,165.80,13.41,,389.8,1236.62,158.12,12.79,,
391.3,1283.89,160.42,12.49,,391.3,1283.89,158.19,12.32,,391.3,1283.89,159.31,12.41,,
392.9,1324.35,176.39,13.32,,392.9,1324.35,170.70,12.89,,392.9,1324.35,173.55,13.10,,
394.4,1356.15,176.86,13.04,,394.4,1356.15,179.24,13.22,,394.4,1356.15,178.05,13.13,,
395.9,1406.72,177.10,12.59,,395.9,1406.72,179.61,12.77,,395.9,1406.72,178.36,12.68,,
397.5,1480.96,196.38,13.26,,397.5,1480.96,188.63,12.74,,397.5,1480.96,192.51,13.00,,
399.0,1545.00,197.76,12.80,,399.0,1545.00,184.16,11.92,,399.0,1545.00,190.96,12.36,,
400.6,1586.22,193.57,12.20,,400.6,1586.22,192.44,12.13,,400.6,1586.22,193.01,12.17,,
402.1,1624.11,185.76,11.44,,402.1,1624.11,182.66,11.25,,402.1,1624.11,184.21,11.34,,
403.6,1645.88,183.17,11.13,,403.6,1645.88,187.01,11.36,,403.6,1645.88,185.09,11.25,,
405.1,1688.62,187.37,11.10,,405.1,1688.62,179.14,10.61,,405.1,1688.62,183.26,10.85,,
