name= \My Documents\HR1024_Data\RD4S13.,,,,,name= \My Documents\HR1024_Data\RD4S14.,,,,,name= \My Documents\HR1024_Data\RD4S15.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 400  60  30  500  60  30,,,,,integration= 400  60  30  500  60  30,,,,,integration= 400  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 33.87  8.81  -5.37  35.96  8.94  -5.37,,,,,temp= 33.87  8.81  -5.37  36.13  8.88  -5.37,,,,,temp= 33.87  8.81  -5.37  36.21  8.88  -5.37,,,,,
battery= 7.1  7.0,,,,,battery= 7.1  7.1,,,,,battery= 7.1  7.1,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 2/3/08 11:48:15 AM  2/3/08 11:53:35 AM,,,,,time= 2/3/08 11:48:15 AM  2/3/08 11:53:54 AM,,,,,time= 2/3/08 11:48:15 AM  2/3/08 11:54:20 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: RD4S13:RD4S14:RD4S15
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,300.98,70.07,23.28,,346.4,300.98,73.89,24.55,,346.4,300.98,71.34,23.70,,346.4,300.98,71.77,23.84,,
347.9,318.46,75.30,23.65,,347.9,318.46,76.56,24.04,,347.9,318.46,72.79,22.86,,347.9,318.46,74.88,23.51,,
349.5,343.20,72.38,21.09,,349.5,343.20,67.39,19.64,,349.5,343.20,79.87,23.27,,349.5,343.20,73.21,21.33,,
351.1,374.40,76.13,20.33,,351.1,374.40,74.88,20.00,,351.1,374.40,72.38,19.33,,351.1,374.40,74.46,19.89,,
352.6,409.54,77.17,18.84,,352.6,409.54,72.11,17.61,,352.6,409.54,73.37,17.92,,352.6,409.54,74.22,18.12,,
354.2,435.24,70.69,16.24,,354.2,435.24,86.39,19.85,,354.2,435.24,82.47,18.95,,354.2,435.24,79.85,18.35,,
355.7,456.30,86.21,18.89,,355.7,456.30,90.25,19.78,,355.7,456.30,82.17,18.01,,355.7,456.30,86.21,18.89,,
357.3,495.85,83.22,16.78,,357.3,495.85,84.61,17.06,,357.3,495.85,94.32,19.02,,357.3,495.85,87.38,17.62,,
358.8,506.78,82.48,16.28,,358.8,506.78,92.27,18.21,,358.8,506.78,82.48,16.28,,358.8,506.78,85.74,16.92,,
360.4,548.73,81.61,14.87,,360.4,548.73,88.64,16.15,,360.4,548.73,98.49,17.95,,360.4,548.73,89.58,16.32,,
361.9,565.91,89.15,15.75,,361.9,565.91,96.12,16.98,,361.9,565.91,87.76,15.51,,361.9,565.91,91.01,16.08,,
363.5,593.82,91.41,15.39,,363.5,593.82,85.87,14.46,,363.5,593.82,94.18,15.86,,363.5,593.82,90.49,15.24,,
365.1,620.68,90.16,14.53,,365.1,620.68,88.77,14.30,,365.1,620.68,87.38,14.08,,365.1,620.68,88.77,14.30,,
366.6,647.34,95.29,14.72,,366.6,647.34,87.00,13.44,,366.6,647.34,95.29,14.72,,366.6,647.34,92.53,14.29,,
368.2,683.25,91.32,13.37,,368.2,683.25,89.98,13.17,,368.2,683.25,92.67,13.56,,368.2,683.25,91.32,13.37,,
369.7,726.46,80.97,11.15,,369.7,726.46,95.34,13.12,,369.7,726.46,87.50,12.04,,369.7,726.46,87.94,12.10,,
371.3,772.09,85.61,11.09,,371.3,772.09,96.14,12.45,,371.3,772.09,82.97,10.75,,371.3,772.09,88.24,11.43,,
372.8,813.40,86.32,10.61,,372.8,813.40,102.26,12.57,,372.8,813.40,91.63,11.27,,372.8,813.40,93.40,11.48,,
374.4,856.07,100.13,11.70,,374.4,856.07,94.79,11.07,,374.4,856.07,97.46,11.38,,374.4,856.07,97.46,11.38,,
375.9,883.77,99.30,11.24,,375.9,883.77,91.36,10.34,,375.9,883.77,86.06,9.74,,375.9,883.77,92.24,10.44,,
377.4,909.07,96.27,10.59,,377.4,909.07,89.77,9.87,,377.4,909.07,93.67,10.30,,377.4,909.07,93.24,10.26,,
379.0,945.20,92.93,9.83,,379.0,945.20,89.11,9.43,,379.0,945.20,87.84,9.29,,379.0,945.20,89.96,9.52,,
380.5,966.34,93.56,9.68,,380.5,966.34,93.56,9.68,,380.5,966.34,89.86,9.30,,380.5,966.34,92.33,9.55,,
382.1,1004.70,89.83,8.94,,382.1,1004.70,91.01,9.06,,382.1,1004.70,91.01,9.06,,382.1,1004.70,90.62,9.02,,
383.6,1031.94,90.72,8.79,,383.6,1031.94,94.12,9.12,,383.6,1031.94,94.12,9.12,,383.6,1031.94,92.99,9.01,,
385.2,1082.13,89.10,8.23,,385.2,1082.13,95.70,8.84,,385.2,1082.13,82.50,7.62,,385.2,1082.13,89.10,8.23,,
386.7,1134.44,82.31,7.26,,386.7,1134.44,83.39,7.35,,386.7,1134.44,86.64,7.64,,386.7,1134.44,84.11,7.41,,
388.3,1183.47,90.22,7.62,,388.3,1183.47,90.22,7.62,,388.3,1183.47,86.96,7.35,,388.3,1183.47,89.13,7.53,,
389.8,1236.62,88.94,7.19,,389.8,1236.62,96.62,7.81,,389.8,1236.62,93.33,7.55,,389.8,1236.62,92.96,7.52,,
391.3,1283.89,90.23,7.03,,391.3,1283.89,90.23,7.03,,391.3,1283.89,99.15,7.72,,391.3,1283.89,93.20,7.26,,
392.9,1324.35,93.32,7.05,,392.9,1324.35,100.14,7.56,,392.9,1324.35,102.42,7.73,,392.9,1324.35,98.63,7.45,,
394.4,1356.15,102.08,7.53,,394.4,1356.15,102.08,7.53,,394.4,1356.15,98.52,7.26,,394.4,1356.15,100.89,7.44,,
395.9,1406.72,108.02,7.68,,395.9,1406.72,101.74,7.23,,395.9,1406.72,104.25,7.41,,395.9,1406.72,104.67,7.44,,
397.5,1480.96,111.11,7.50,,397.5,1480.96,116.28,7.85,,397.5,1480.96,109.82,7.42,,397.5,1480.96,112.40,7.59,,
399.0,1545.00,106.30,6.88,,399.0,1545.00,112.48,7.28,,399.0,1545.00,111.24,7.20,,399.0,1545.00,110.01,7.12,,
400.6,1586.22,112.07,7.07,,400.6,1586.22,113.20,7.14,,400.6,1586.22,106.41,6.71,,400.6,1586.22,110.56,6.97,,
402.1,1624.11,103.20,6.35,,402.1,1624.11,100.10,6.16,,402.1,1624.11,98.04,6.04,,402.1,1624.11,100.45,6.18,,
403.6,1645.88,103.57,6.29,,403.6,1645.88,102.61,6.23,,403.6,1645.88,101.65,6.18,,403.6,1645.88,102.61,6.23,,
405.1,1688.62,103.28,6.12,,405.1,1688.62,101.45,6.01,,405.1,1688.62,98.71,5.85,,405.1,1688.62,101.15,5.99,,
406.7,1751.68,106.62,6.09,,406.7,1751.68,100.35,5.73,,406.7,1751.68,99.46,5.68,,406.7,1751.68,102.14,5.83,,
408.2,1815.41,104.25,5.74,,408.2,1815.41,107.81,5.94,,408.2,1815.41,102.47,5.64,,408.2,1815.41,104.84,5.78,,
409.7,1871.52,102.14,5.46,,409.7,1871.52,105.73,5.65,,409.7,1871.52,106.62,5.70,,409.7,1871.52,104.83,5.60,,
411.3,1932.39,105.57,5.46,,411.3,1932.39,106.49,5.51,,411.3,1932.39,106.49,5.51,,411.3,1932.39,106.18,5.49,,
412.8,1975.40,109.02,5.52,,412.8,1975.40,111.86,5.66,,412.8,1975.40,110.92,5.61,,412.8,1975.40,110.60,5.60,,
414.3,2044.89,111.61,5.46,,414.3,2044.89,105.73,5.17,,414.3,2044.89,117.48,5.75,,414.3,2044.89,111.61,5.46,,
415.8,2106.25,112.00,5.32,,415.8,2106.25,120.00,5.70,,415.8,2106.25,115.00,5.46,,415.8,2106.25,115.67,5.49,,
417.4,2169.48,124.48,5.74,,417.4,2169.48,123.46,5.69,,417.4,2169.48,123.46,5.69,,417.4,2169.48,123.80,5.71,,
418.9,2222.61,121.44,5.46,,418.9,2222.61,125.49,5.65,,418.9,2222.61,118.40,5.33,,418.9,2222.61,121.78,5.48,,
420.4,2266.93,121.63,5.37,,420.4,2266.93,117.65,5.19,,420.4,2266.93,120.64,5.32,,420.4,2266.93,119.97,5.29,,
421.9,2296.58,118.10,5.14,,421.9,2296.58,121.97,5.31,,421.9,2296.58,127.78,5.56,,421.9,2296.58,122.62,5.34,,
423.5,2335.00,121.42,5.20,,423.5,2335.00,119.55,5.12,,423.5,2335.00,123.29,5.28,,423.5,2335.00,121.42,5.20,,
425.0,2376.73,119.57,5.03,,425.0,2376.73,116.87,4.92,,425.0,2376.73,115.97,4.88,,425.0,2376.73,117.47,4.94,,
426.5,2428.43,116.96,4.82,,426.5,2428.43,116.96,4.82,,426.5,2428.43,118.68,4.89,,426.5,2428.43,117.53,4.84,,
428.0,2489.68,119.87,4.81,,428.0,2489.68,111.66,4.48,,428.0,2489.68,113.30,4.55,,428.0,2489.68,114.94,4.62,,
429.5,2574.41,114.55,4.45,,429.5,2574.41,120.87,4.70,,429.5,2574.41,113.76,4.42,,429.5,2574.41,116.39,4.52,,
431.1,2658.69,118.42,4.45,,431.1,2658.69,120.74,4.54,,431.1,2658.69,116.87,4.40,,431.1,2658.69,118.68,4.46,,
432.6,2748.21,120.73,4.39,,432.6,2748.21,119.96,4.37,,432.6,2748.21,122.27,4.45,,432.6,2748.21,120.99,4.40,,
434.1,2843.23,123.97,4.36,,434.1,2843.23,120.89,4.25,,434.1,2843.23,127.05,4.47,,434.1,2843.23,123.97,4.36,,
435.6,2926.69,130.81,4.47,,435.6,2926.69,121.52,4.15,,435.6,2926.69,126.94,4.34,,435.6,2926.69,126.42,4.32,,
437.1,3007.88,129.48,4.30,,437.1,3007.88,125.58,4.18,,437.1,3007.88,124.02,4.12,,437.1,3007.88,126.36,4.20,,
438.6,3080.14,134.41,4.36,,438.6,3080.14,128.90,4.19,,438.6,3080.14,131.26,4.26,,438.6,3080.14,131.52,4.27,,
440.1,3160.11,129.26,4.09,,440.1,3160.11,133.22,4.22,,440.1,3160.11,137.98,4.37,,440.1,3160.11,133.49,4.22,,
441.6,3238.04,132.97,4.11,,441.6,3238.04,132.97,4.11,,441.6,3238.04,139.37,4.30,,441.6,3238.04,135.10,4.17,,
443.1,3312.90,136.08,4.11,,443.1,3312.90,135.27,4.08,,443.1,3312.90,136.89,4.13,,443.1,3312.90,136.08,4.11,,
444.7,3389.72,140.56,4.15,,444.7,3389.72,135.63,4.00,,444.7,3389.72,143.85,4.24,,444.7,3389.72,140.01,4.13,,
446.2,3441.68,144.82,4.21,,446.2,3441.68,143.14,4.16,,446.2,3441.68,144.82,4.21,,446.2,3441.68,144.26,4.19,,
447.7,3501.62,148.44,4.24,,447.7,3501.62,142.40,4.07,,447.7,3501.62,149.30,4.26,,447.7,3501.62,146.71,4.19,,
449.2,3564.00,147.74,4.15,,449.2,3564.00,144.29,4.05,,449.2,3564.00,146.02,4.10,,449.2,3564.00,146.02,4.10,,
450.7,3621.28,148.10,4.09,,450.7,3621.28,145.60,4.02,,450.7,3621.28,154.75,4.27,,450.7,3621.28,149.48,4.13,,
452.2,3682.41,151.70,4.12,,452.2,3682.41,149.34,4.06,,452.2,3682.41,150.13,4.08,,452.2,3682.41,150.39,4.08,,
453.7,3758.53,143.79,3.83,,453.7,3758.53,146.77,3.90,,453.7,3758.53,148.26,3.94,,453.7,3758.53,146.27,3.89,,
455.2,3840.40,145.04,3.78,,455.2,3840.40,145.75,3.80,,455.2,3840.40,150.78,3.93,,455.2,3840.40,147.19,3.83,,
456.7,3952.96,152.06,3.85,,456.7,3952.96,152.77,3.86,,456.7,3952.96,149.95,3.79,,456.7,3952.96,151.59,3.83,,
458.2,4072.55,155.18,3.81,,458.2,4072.55,152.38,3.74,,458.2,4072.55,153.78,3.78,,458.2,4072.55,153.78,3.78,,
459.7,4195.63,156.80,3.74,,459.7,4195.63,160.30,3.82,,459.7,4195.63,160.30,3.82,,459.7,4195.63,159.13,3.79,,
461.2,4317.19,161.67,3.74,,461.2,4317.19,164.50,3.81,,461.2,4317.19,163.79,3.79,,461.2,4317.19,163.32,3.78,,
462.7,4419.51,168.26,3.81,,462.7,4419.51,166.83,3.77,,462.7,4419.51,166.83,3.77,,462.7,4419.51,167.31,3.79,,
464.2,4528.34,172.02,3.80,,464.2,4528.34,166.16,3.67,,464.2,4528.34,174.22,3.85,,464.2,4528.34,170.80,3.77,,
465.7,4636.49,174.98,3.77,,465.7,4636.49,179.49,3.87,,465.7,4636.49,173.48,3.74,,465.7,4636.49,175.98,3.80,,
467.2,4730.69,177.87,3.76,,467.2,4730.69,181.72,3.84,,467.2,4730.69,177.10,3.74,,467.2,4730.69,178.90,3.78,,
468.7,4831.00,182.40,3.78,,468.7,4831.00,174.40,3.61,,468.7,4831.00,186.40,3.86,,468.7,4831.00,181.07,3.75,,
470.2,4904.47,185.98,3.79,,470.2,4904.47,182.53,3.72,,470.2,4904.47,189.42,3.86,,470.2,4904.47,185.98,3.79,,
471.7,4994.63,192.85,3.86,,471.7,4994.63,198.55,3.98,,471.7,4994.63,199.50,3.99,,471.7,4994.63,196.97,3.94,,
