name= \My Documents\HR1024_Data\RD4T1.,,,,,name= \My Documents\HR1024_Data\RD4T2.,,,,,name= \My Documents\HR1024_Data\RD4T3.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 400  60  30  500  60  30,,,,,integration= 400  60  30  500  60  30,,,,,integration= 400  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 30.65  8.88  -5.44  31.77  8.94  -5.37,,,,,temp= 30.65  8.88  -5.44  31.94  8.88  -5.37,,,,,temp= 30.65  8.88  -5.44  32.66  8.88  -5.37,,,,,
battery= 7.2  7.1,,,,,battery= 7.2  7.1,,,,,battery= 7.2  7.1,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 2/3/08 11:43:53 AM  2/3/08 11:45:04 AM,,,,,time= 2/3/08 11:43:53 AM  2/3/08 11:45:34 AM,,,,,time= 2/3/08 11:43:53 AM  2/3/08 11:46:13 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: RD4T1:RD4T2:RD4T3
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
346.4,340.80,68.80,20.19,,346.4,340.80,70.07,20.56,,346.4,340.80,75.17,22.06,,346.4,340.80,71.35,20.94,,
347.9,367.09,71.54,19.49,,347.9,367.09,69.03,18.80,,347.9,367.09,67.77,18.46,,347.9,367.09,69.45,18.92,,
349.5,399.36,74.88,18.75,,349.5,399.36,77.38,19.38,,349.5,399.36,72.38,18.13,,349.5,399.36,74.88,18.75,,
351.1,433.68,79.87,18.42,,351.1,433.68,68.64,15.83,,351.1,433.68,69.89,16.12,,351.1,433.68,72.80,16.79,,
352.6,460.14,80.96,17.59,,352.6,460.14,73.37,15.95,,352.6,460.14,72.11,15.67,,352.6,460.14,75.48,16.40,,
354.2,492.51,75.92,15.42,,354.2,492.51,82.47,16.74,,354.2,492.51,75.92,15.42,,354.2,492.51,78.10,15.86,,
355.7,538.80,79.47,14.75,,355.7,538.80,80.82,15.00,,355.7,538.80,87.56,16.25,,355.7,538.80,82.62,15.33,,
357.3,568.67,85.99,15.12,,357.3,568.67,81.83,14.39,,357.3,568.67,80.45,14.15,,357.3,568.67,82.76,14.55,,
358.8,585.41,86.68,14.81,,358.8,585.41,82.48,14.09,,358.8,585.41,89.47,15.28,,358.8,585.41,86.21,14.73,,
360.4,620.84,92.86,14.96,,360.4,620.84,90.05,14.50,,360.4,620.84,88.64,14.28,,360.4,620.84,90.52,14.58,,
361.9,639.04,86.37,13.51,,361.9,639.04,84.97,13.30,,361.9,639.04,89.15,13.95,,361.9,639.04,86.83,13.59,,
363.5,669.99,88.64,13.23,,363.5,669.99,87.26,13.02,,363.5,669.99,90.03,13.44,,363.5,669.99,88.64,13.23,,
365.1,686.57,92.93,13.54,,365.1,686.57,85.99,12.53,,365.1,686.57,92.93,13.54,,365.1,686.57,90.62,13.20,,
366.6,733.66,85.62,11.67,,366.6,733.66,88.38,12.05,,366.6,733.66,85.62,11.67,,366.6,733.66,86.54,11.80,,
368.2,777.26,80.58,10.37,,368.2,777.26,77.89,10.02,,368.2,777.26,94.01,12.10,,368.2,777.26,84.16,10.83,,
369.7,809.72,92.73,11.45,,369.7,809.72,82.28,10.16,,369.7,809.72,86.20,10.65,,369.7,809.72,87.07,10.75,,
371.3,867.57,88.24,10.17,,371.3,867.57,92.19,10.63,,371.3,867.57,102.73,11.84,,371.3,867.57,94.39,10.88,,
372.8,909.68,90.30,9.93,,372.8,909.68,90.30,9.93,,372.8,909.68,83.66,9.20,,372.8,909.68,88.09,9.68,,
374.4,951.19,85.44,8.98,,374.4,951.19,93.45,9.82,,374.4,951.19,94.79,9.96,,374.4,951.19,91.23,9.59,,
375.9,983.07,87.38,8.89,,375.9,983.07,91.36,9.29,,375.9,983.07,84.74,8.62,,375.9,983.07,87.83,8.93,,
377.4,1019.66,91.07,8.93,,377.4,1019.66,97.58,9.57,,377.4,1019.66,89.77,8.80,,377.4,1019.66,92.81,9.10,,
