Wavelength,Reflectance
/***,***/
346.0,36.73
347.0,35.63
348.0,34.63
349.0,33.70
350.0,32.85
351.0,32.06
352.0,31.32
353.0,30.64
354.0,30.00
355.0,29.41
356.0,28.85
357.0,28.36
358.0,27.90
359.0,27.46
360.0,27.06
361.0,26.67
362.0,26.31
363.0,25.96
364.0,25.63
365.0,25.32
366.0,25.03
367.0,24.38
368.0,23.78
369.0,23.23
370.0,22.71
371.0,22.22
372.0,21.76
373.0,21.33
374.0,20.93
375.0,20.54
376.0,20.18
377.0,19.70
378.0,19.25
379.0,18.82
380.0,18.41
381.0,18.01
382.0,17.64
383.0,17.28
384.0,16.93
385.0,16.60
386.0,16.29
387.0,16.28
388.0,16.28
389.0,16.27
390.0,16.27
391.0,16.26
392.0,16.26
393.0,16.26
394.0,16.25
395.0,16.25
396.0,16.25
397.0,15.95
398.0,15.66
399.0,15.39
400.0,15.13
401.0,14.88
402.0,14.64
403.0,14.40
404.0,14.18
405.0,13.97
406.0,13.77
407.0,13.78
408.0,13.80
409.0,13.81
410.0,13.83
411.0,13.84
412.0,13.85
413.0,13.86
414.0,13.88
415.0,13.89
416.0,13.90
417.0,13.87
418.0,13.85
419.0,13.82
420.0,13.80
421.0,13.77
422.0,13.75
423.0,13.73
424.0,13.71
425.0,13.69
426.0,13.66
427.0,13.59
428.0,13.52
429.0,13.45
430.0,13.38
431.0,13.32
432.0,13.25
433.0,13.20
434.0,13.14
435.0,13.09
436.0,13.03
437.0,13.12
438.0,13.20
439.0,13.27
440.0,13.35
441.0,13.42
442.0,13.48
443.0,13.55
444.0,13.62
445.0,13.68
446.0,13.74
447.0,13.84
448.0,13.95
449.0,14.05
450.0,14.14
451.0,14.24
452.0,14.33
453.0,14.41
454.0,14.50
455.0,14.58
456.0,14.66
457.0,14.70
458.0,14.74
459.0,14.77
460.0,14.81
461.0,14.84
462.0,14.87
463.0,14.91
464.0,14.93
465.0,14.96
466.0,14.99
467.0,15.02
468.0,15.04
469.0,15.07
470.0,15.09
471.0,15.11
472.0,15.14
473.0,15.16
474.0,15.18
475.0,15.20
476.0,15.22
477.0,15.28
478.0,15.33
479.0,15.39
480.0,15.44
481.0,15.49
482.0,15.54
483.0,15.59
484.0,15.64
485.0,15.69
486.0,15.74
487.0,15.97
488.0,16.20
489.0,16.42
490.0,16.62
491.0,16.83
492.0,17.02
493.0,17.21
