Wavelength,Reflectance
/***,***/
346.0,32.81
347.0,31.36
348.0,30.07
349.0,28.92
350.0,27.88
351.0,26.94
352.0,26.09
353.0,25.31
354.0,24.59
355.0,23.93
356.0,23.33
357.0,22.82
358.0,22.35
359.0,21.91
360.0,21.50
361.0,21.12
362.0,20.75
363.0,20.41
364.0,20.09
365.0,19.79
366.0,19.50
367.0,18.93
368.0,18.40
369.0,17.90
370.0,17.44
371.0,17.01
372.0,16.61
373.0,16.23
374.0,15.87
375.0,15.54
376.0,15.22
377.0,14.85
378.0,14.49
379.0,14.15
380.0,13.82
381.0,13.51
382.0,13.22
383.0,12.94
384.0,12.67
385.0,12.41
386.0,12.16
387.0,12.14
388.0,12.13
389.0,12.11
390.0,12.10
391.0,12.09
392.0,12.07
393.0,12.06
394.0,12.05
395.0,12.04
396.0,12.03
397.0,11.83
398.0,11.64
399.0,11.46
400.0,11.29
401.0,11.12
402.0,10.96
403.0,10.80
404.0,10.65
405.0,10.50
406.0,10.36
407.0,10.42
408.0,10.47
409.0,10.52
410.0,10.56
411.0,10.61
412.0,10.65
413.0,10.69
414.0,10.73
415.0,10.77
416.0,10.81
417.0,10.76
418.0,10.70
419.0,10.65
420.0,10.60
421.0,10.56
422.0,10.51
423.0,10.47
424.0,10.42
425.0,10.38
426.0,10.34
427.0,10.30
428.0,10.26
429.0,10.23
430.0,10.20
431.0,10.16
432.0,10.13
433.0,10.10
434.0,10.07
435.0,10.04
436.0,10.02
437.0,10.10
438.0,10.18
439.0,10.26
440.0,10.34
441.0,10.41
442.0,10.48
443.0,10.55
444.0,10.62
445.0,10.69
446.0,10.75
447.0,10.87
448.0,10.99
449.0,11.10
450.0,11.21
451.0,11.32
452.0,11.43
453.0,11.53
454.0,11.63
455.0,11.73
456.0,11.82
457.0,11.91
458.0,11.99
459.0,12.06
460.0,12.14
461.0,12.21
462.0,12.28
463.0,12.35
464.0,12.41
465.0,12.47
466.0,12.53
467.0,12.60
468.0,12.66
469.0,12.72
470.0,12.78
471.0,12.83
472.0,12.89
473.0,12.94
474.0,12.99
475.0,13.04
476.0,13.09
477.0,13.14
478.0,13.19
479.0,13.24
480.0,13.28
481.0,13.33
482.0,13.37
483.0,13.41
484.0,13.45
485.0,13.50
486.0,13.54
487.0,13.80
488.0,14.06
489.0,14.31
490.0,14.56
