Wavelength,Reflectance
/***,***/
346.0,42.29
347.0,40.86
348.0,38.68
349.0,37.00
350.0,35.49
351.0,34.10
352.0,32.93
353.0,32.22
354.0,32.06
355.0,31.08
356.0,30.18
357.0,29.75
358.0,29.22
359.0,28.56
360.0,27.62
361.0,27.07
362.0,26.78
363.0,26.79
364.0,26.17
365.0,24.96
366.0,24.92
367.0,24.50
368.0,23.36
369.0,22.15
370.0,21.25
371.0,21.00
372.0,20.54
373.0,20.07
374.0,19.82
375.0,19.53
376.0,19.24
377.0,19.06
378.0,18.76
379.0,18.40
380.0,17.91
381.0,17.34
382.0,16.70
383.0,16.15
384.0,15.76
385.0,15.59
386.0,15.25
387.0,14.97
388.0,14.94
389.0,14.95
390.0,14.93
391.0,14.70
392.0,14.62
393.0,14.60
394.0,14.71
395.0,14.74
396.0,14.73
397.0,14.88
398.0,14.89
399.0,14.77
400.0,14.24
401.0,13.83
402.0,13.61
403.0,13.47
404.0,13.27
405.0,12.97
406.0,12.94
407.0,12.92
408.0,12.87
409.0,12.83
410.0,12.84
411.0,12.96
412.0,13.07
413.0,13.19
414.0,13.32
415.0,13.33
416.0,13.30
417.0,13.28
418.0,13.37
419.0,13.49
420.0,13.42
421.0,13.43
422.0,13.46
423.0,13.37
424.0,13.31
425.0,13.28
426.0,13.13
427.0,12.98
428.0,12.85
429.0,12.82
430.0,12.81
431.0,12.80
432.0,12.80
433.0,12.77
434.0,12.71
435.0,12.73
436.0,12.76
437.0,12.79
438.0,12.84
439.0,12.90
440.0,12.98
441.0,13.09
442.0,13.16
443.0,13.19
444.0,13.33
445.0,13.49
446.0,13.70
447.0,13.89
448.0,14.08
449.0,14.29
450.0,14.44
451.0,14.57
452.0,14.72
453.0,14.82
454.0,14.91
455.0,15.00
456.0,15.08
457.0,15.17
458.0,15.28
459.0,15.35
460.0,15.41
461.0,15.47
462.0,15.52
463.0,15.57
464.0,15.64
465.0,15.71
466.0,15.77
467.0,15.80
468.0,15.82
469.0,15.86
470.0,15.92
471.0,16.02
472.0,16.17
473.0,16.40
474.0,16.50
475.0,16.54
476.0,16.55
477.0,16.52
478.0,16.49
479.0,16.48
480.0,16.51
481.0,16.54
482.0,16.58
483.0,16.59
484.0,16.65
485.0,16.77
486.0,16.90
487.0,17.06
488.0,17.25
489.0,17.43
490.0,17.64
491.0,17.89
492.0,18.20
493.0,18.52
494.0,18.86
495.0,19.22
496.0,19.64
497.0,20.09
498.0,20.56
499.0,21.07
500.0,21.61
501.0,22.20
502.0,22.86
503.0,23.56
504.0,24.24
505.0,24.97
506.0,25.73
507.0,26.60
508.0,27.44
509.0,28.28
510.0,29.12
511.0,30.09
512.0,31.08
513.0,32.04
514.0,32.99
515.0,33.97
516.0,35.01
517.0,36.04
518.0,37.05
519.0,38.03
520.0,39.03
521.0,40.06
522.0,41.10
523.0,42.10
524.0,43.11
525.0,44.10
526.0,45.00
527.0,45.85
528.0,46.67
529.0,47.48
530.0,48.20
531.0,48.89
532.0,49.56
533.0,50.11
534.0,50.65
535.0,51.18
536.0,51.63
537.0,52.03
538.0,52.38
539.0,52.79
540.0,53.16
541.0,53.52
542.0,53.94
543.0,54.28
544.0,54.57
545.0,54.81
546.0,55.01
547.0,55.16
548.0,55.29
549.0,55.43
550.0,55.53
551.0,55.61
552.0,55.63
553.0,55.63
554.0,55.61
555.0,55.52
556.0,55.42
557.0,55.30
558.0,55.13
559.0,54.95
560.0,54.78
561.0,54.60
562.0,54.40
563.0,54.19
564.0,53.95
565.0,53.68
566.0,53.38
567.0,53.05
568.0,52.72
569.0,52.33
570.0,51.89
571.0,51.44
572.0,51.02
573.0,50.58
574.0,50.11
575.0,49.69
576.0,49.27
577.0,48.86
578.0,48.46
579.0,48.08
580.0,47.71
581.0,47.35
582.0,47.01
583.0,46.70
584.0,46.41
585.0,46.11
586.0,45.86
587.0,45.63
588.0,45.41
589.0,45.18
590.0,44.96
591.0,44.72
592.0,44.50
593.0,44.27
594.0,44.04
595.0,43.82
596.0,43.62
597.0,43.43
598.0,43.23
599.0,43.02
600.0,42.82
601.0,42.63
602.0,42.42
603.0,42.20
604.0,41.97
605.0,41.72
606.0,41.42
607.0,41.12
608.0,40.81
609.0,40.49
610.0,40.16
611.0,39.83
612.0,39.52
613.0,39.20
614.0,38.86
615.0,38.50
616.0,38.18
617.0,37.89
618.0,37.64
619.0,37.43
620.0,37.25
621.0,37.11
622.0,37.02
623.0,37.02
624.0,37.05
625.0,37.12
626.0,37.19
627.0,37.20
628.0,37.18
629.0,37.15
630.0,37.08
631.0,36.98
632.0,36.86
633.0,36.65
634.0,36.41
635.0,36.09
636.0,35.60
637.0,35.03
638.0,34.44
