Wavelength,Reflectance
/***,***/
346.0,26.00
347.0,25.42
348.0,24.46
349.0,23.06
350.0,22.11
351.0,21.52
352.0,20.23
353.0,19.59
354.0,19.89
355.0,19.26
356.0,18.59
357.0,18.20
358.0,18.19
359.0,18.18
360.0,17.62
361.0,16.90
362.0,16.17
363.0,16.02
364.0,15.79
365.0,15.50
366.0,15.16
367.0,14.79
368.0,14.37
369.0,13.54
370.0,12.94
371.0,12.95
372.0,12.67
373.0,12.27
374.0,11.84
375.0,11.57
376.0,11.42
377.0,11.36
378.0,11.14
379.0,10.81
380.0,10.59
381.0,10.34
382.0,10.07
383.0,9.86
384.0,9.67
385.0,9.49
386.0,9.23
387.0,9.02
388.0,8.94
389.0,8.90
390.0,8.85
391.0,8.79
392.0,8.79
393.0,8.80
394.0,8.83
395.0,8.97
396.0,9.18
397.0,9.35
398.0,9.20
399.0,8.77
400.0,8.42
401.0,8.13
402.0,7.91
403.0,7.70
404.0,7.55
405.0,7.49
406.0,7.41
407.0,7.35
408.0,7.34
409.0,7.29
410.0,7.29
411.0,7.41
412.0,7.51
413.0,7.57
414.0,7.57
415.0,7.59
416.0,7.62
417.0,7.65
418.0,7.66
419.0,7.64
420.0,7.65
421.0,7.61
422.0,7.53
423.0,7.40
424.0,7.33
425.0,7.32
426.0,7.27
427.0,7.23
428.0,7.19
429.0,7.14
430.0,7.08
431.0,7.02
432.0,7.01
433.0,7.00
434.0,6.99
435.0,7.01
436.0,7.03
437.0,7.01
438.0,7.03
439.0,7.05
440.0,7.08
441.0,7.15
442.0,7.21
443.0,7.25
444.0,7.28
445.0,7.33
446.0,7.42
447.0,7.54
448.0,7.65
449.0,7.76
450.0,7.76
451.0,7.74
452.0,7.75
453.0,7.78
454.0,7.80
455.0,7.83
456.0,7.87
457.0,7.91
458.0,7.94
459.0,8.02
460.0,8.08
461.0,8.10
462.0,8.13
463.0,8.17
464.0,8.21
465.0,8.25
466.0,8.29
467.0,8.31
468.0,8.36
469.0,8.42
470.0,8.51
471.0,8.66
472.0,8.81
473.0,8.93
474.0,8.86
475.0,8.71
476.0,8.55
477.0,8.53
478.0,8.53
479.0,8.53
480.0,8.58
481.0,8.63
482.0,8.66
483.0,8.69
484.0,8.74
485.0,8.81
486.0,8.86
487.0,8.92
488.0,8.99
489.0,9.08
490.0,9.18
491.0,9.29
492.0,9.46
493.0,9.61
494.0,9.74
495.0,9.93
496.0,10.13
497.0,10.33
498.0,10.53
499.0,10.75
500.0,10.99
501.0,11.27
502.0,11.57
503.0,11.89
504.0,12.22
505.0,12.57
506.0,12.92
507.0,13.33
508.0,13.74
509.0,14.16
510.0,14.59
511.0,15.07
512.0,15.55
513.0,16.02
514.0,16.51
515.0,17.01
516.0,17.52
517.0,18.06
518.0,18.59
519.0,19.13
520.0,19.68
521.0,20.25
522.0,20.84
523.0,21.39
524.0,21.94
525.0,22.48
526.0,22.99
527.0,23.46
528.0,23.93
529.0,24.40
530.0,24.82
531.0,25.23
532.0,25.61
533.0,25.93
534.0,26.24
535.0,26.57
536.0,26.82
537.0,27.07
538.0,27.31
539.0,27.57
540.0,27.81
541.0,28.03
542.0,28.24
543.0,28.39
544.0,28.52
545.0,28.65
546.0,28.80
547.0,28.95
548.0,29.06
549.0,29.22
550.0,29.33
551.0,29.41
552.0,29.48
553.0,29.53
554.0,29.56
555.0,29.56
556.0,29.53
557.0,29.49
558.0,29.42
559.0,29.34
560.0,29.25
561.0,29.14
562.0,29.04
563.0,28.91
564.0,28.76
565.0,28.60
566.0,28.41
567.0,28.21
568.0,28.02
569.0,27.77
570.0,27.51
571.0,27.25
572.0,26.99
573.0,26.74
574.0,26.47
575.0,26.21
576.0,25.96
577.0,25.73
578.0,25.50
579.0,25.27
580.0,25.06
581.0,24.84
582.0,24.66
583.0,24.48
584.0,24.30
585.0,24.13
586.0,23.96
587.0,23.80
588.0,23.65
589.0,23.51
590.0,23.36
591.0,23.22
592.0,23.11
593.0,22.99
594.0,22.88
595.0,22.80
596.0,22.72
597.0,22.64
598.0,22.54
599.0,22.44
600.0,22.35
601.0,22.25
602.0,22.14
603.0,22.03
604.0,21.91
605.0,21.80
606.0,21.66
607.0,21.51
608.0,21.37
609.0,21.21
610.0,21.06
611.0,20.90
612.0,20.74
613.0,20.59
614.0,20.46
615.0,20.33
616.0,20.20
617.0,20.07
618.0,19.93
619.0,19.78
620.0,19.65
621.0,19.55
622.0,19.50
623.0,19.54
624.0,19.61
625.0,19.71
626.0,19.84
627.0,19.95
628.0,20.04
629.0,20.12
630.0,20.16
631.0,20.18
632.0,20.18
633.0,20.13
634.0,20.04
635.0,19.90
636.0,19.71
637.0,19.55
638.0,19.41
639.0,19.24
640.0,18.95
641.0,18.55
642.0,18.11
643.0,17.66
644.0,17.22
645.0,16.83
646.0,16.47
647.0,16.07
648.0,15.58
649.0,15.06
650.0,14.50
651.0,13.73
652.0,12.94
653.0,12.35
654.0,12.27
655.0,12.37
656.0,12.48
657.0,12.57
658.0,12.62
659.0,12.56
660.0,12.44
661.0,12.26
662.0,12.08
663.0,11.90
664.0,11.72
665.0,11.53
666.0,11.34
667.0,11.17
668.0,11.03
669.0,10.94
670.0,10.87
671.0,10.80
672.0,10.75
673.0,10.72
674.0,10.71
675.0,10.72
676.0,10.72
677.0,10.78
678.0,10.89
679.0,11.05
680.0,11.27
681.0,11.53
682.0,11.86
683.0,12.25
684.0,12.74
685.0,13.33
686.0,14.04
687.0,14.89
688.0,15.84
689.0,16.97
690.0,18.18
691.0,19.46
692.0,20.99
693.0,22.50
694.0,24.09
695.0,25.83
696.0,27.64
697.0,29.39
698.0,31.18
699.0,33.04
700.0,34.77
701.0,36.58
702.0,38.34
703.0,40.01
704.0,41.80
705.0,43.49
706.0,45.09
707.0,46.59
708.0,48.11
709.0,49.60
710.0,50.99
711.0,52.27
712.0,53.54
713.0,54.77
714.0,55.96
715.0,57.12
716.0,58.16
717.0,59.24
718.0,60.30
719.0,61.33
720.0,62.37
721.0,63.26
722.0,64.11
723.0,64.94
724.0,65.61
725.0,66.22
726.0,66.82
727.0,67.40
728.0,67.93
729.0,68.35
730.0,68.73
731.0,69.09
732.0,69.46
733.0,69.76
734.0,70.05
735.0,70.32
736.0,70.54
737.0,70.69
738.0,70.90
739.0,71.12
740.0,71.32
741.0,71.53
742.0,71.77
743.0,72.01
744.0,72.23
745.0,72.45
746.0,72.80
747.0,73.23
748.0,73.73
749.0,74.27
750.0,74.72
751.0,75.01
752.0,75.18
753.0,75.25
754.0,75.20
755.0,75.07
756.0,75.01
757.0,75.04
758.0,75.08
759.0,75.15
760.0,75.22
761.0,75.30
762.0,75.37
763.0,75.51
764.0,75.64
765.0,75.77
766.0,75.92
767.0,76.07
768.0,76.21
769.0,76.31
770.0,76.43
771.0,76.56
772.0,76.62
773.0,76.71
774.0,76.81
775.0,76.96
776.0,77.14
777.0,77.25
778.0,77.30
779.0,77.42
780.0,77.52
781.0,77.51
782.0,77.46
783.0,77.57
784.0,77.62
785.0,77.64
786.0,77.71
787.0,77.94
788.0,78.44
789.0,78.93
790.0,79.30
791.0,79.48
792.0,79.39
793.0,79.40
794.0,79.45
795.0,79.49
796.0,79.51
797.0,79.50
798.0,79.51
799.0,79.63
800.0,79.72
801.0,79.76
802.0,79.89
803.0,79.97
804.0,80.04
805.0,80.13
806.0,80.22
807.0,80.25
808.0,80.34
809.0,80.39
810.0,80.44
811.0,80.48
812.0,80.48
813.0,80.45
814.0,80.48
815.0,80.61
816.0,80.76
817.0,80.91
818.0,81.05
819.0,81.09
820.0,81.14
821.0,81.12
822.0,81.12
823.0,81.13
824.0,81.08
825.0,81.09
826.0,81.01
827.0,80.95
828.0,80.87
829.0,80.77
830.0,80.67
831.0,80.56
832.0,80.51
833.0,80.47
834.0,80.44
835.0,80.41
836.0,80.37
837.0,80.38
838.0,80.40
839.0,80.41
840.0,80.44
841.0,80.47
842.0,80.45
843.0,80.41
844.0,80.46
845.0,80.54
846.0,80.57
847.0,80.62
848.0,80.71
849.0,80.82
850.0,80.94
851.0,81.15
852.0,81.22
853.0,81.32
854.0,81.41
855.0,81.46
856.0,81.49
857.0,81.51
858.0,81.51
859.0,81.45
860.0,81.53
861.0,81.53
862.0,81.53
863.0,81.54
864.0,81.54
865.0,81.55
866.0,81.52
867.0,81.49
868.0,81.51
869.0,81.53
870.0,81.46
871.0,81.36
872.0,81.27
873.0,81.23
874.0,81.27
875.0,81.15
876.0,81.01
877.0,80.96
878.0,80.93
879.0,80.85
880.0,80.79
881.0,80.74
882.0,80.67
883.0,80.63
884.0,80.68
885.0,80.68
886.0,80.77
887.0,80.68
888.0,80.68
889.0,80.57
890.0,80.48
891.0,80.41
892.0,80.30
893.0,80.16
894.0,79.95
895.0,79.80
896.0,79.67
897.0,79.75
898.0,79.62
899.0,79.49
900.0,79.28
901.0,79.14
902.0,79.05
903.0,78.92
904.0,78.78
905.0,78.69
906.0,78.62
907.0,78.53
908.0,78.31
909.0,78.20
910.0,78.06
911.0,77.91
912.0,77.86
913.0,77.72
914.0,77.41
915.0,77.18
916.0,77.10
917.0,76.97
918.0,76.75
919.0,76.48
920.0,76.22
921.0,75.96
922.0,75.70
923.0,75.42
924.0,75.10
925.0,74.80
926.0,74.50
927.0,74.29
928.0,74.06
929.0,73.69
930.0,73.26
931.0,72.92
932.0,72.51
933.0,72.19
934.0,71.80
935.0,71.37
936.0,70.87
937.0,70.46
938.0,70.01
939.0,69.62
940.0,69.15
941.0,68.83
942.0,68.37
943.0,67.92
944.0,67.43
945.0,67.09
946.0,66.58
947.0,66.14
948.0,65.68
949.0,65.15
950.0,64.57
951.0,64.09
952.0,63.61
953.0,63.13
954.0,62.65
955.0,62.16
956.0,61.67
957.0,61.24
958.0,61.04
959.0,60.67
960.0,60.46
961.0,60.21
962.0,60.01
963.0,60.06
964.0,59.89
965.0,59.73
966.0,59.60
967.0,59.57
968.0,59.42
969.0,59.46
970.0,59.45
971.0,59.26
972.0,59.24
973.0,59.21
974.0,59.18
975.0,59.28
976.0,59.39
977.0,59.21
978.0,59.30
979.0,59.44
980.0,58.98
981.0,57.60
982.0,57.12
983.0,57.26
984.0,57.39
985.0,57.52
986.0,57.64
987.0,57.76
988.0,57.88
989.0,57.99
990.0,58.11
991.0,58.24
992.0,58.36
993.0,58.48
994.0,58.61
995.0,58.74
996.0,58.87
997.0,59.00
998.0,59.17
999.0,59.35
1000.0,59.52
1001.0,59.70
1002.0,59.91
1003.0,60.13
1004.0,60.35
1005.0,60.57
1006.0,60.80
1007.0,61.03
1008.0,61.26
1009.0,61.49
1010.0,61.71
1011.0,61.93
1012.0,62.15
1013.0,62.38
1014.0,62.61
1015.0,62.85
1016.0,63.09
1017.0,63.33
1018.0,63.58
1019.0,63.84
1020.0,64.09
1021.0,64.34
1022.0,64.59
1023.0,64.83
1024.0,65.08
1025.0,65.32
1026.0,65.56
1027.0,65.81
1028.0,66.05
1029.0,66.29
1030.0,66.54
1031.0,66.78
1032.0,67.03
1033.0,67.27
1034.0,67.49
1035.0,67.71
1036.0,67.94
1037.0,68.16
1038.0,68.38
1039.0,68.59
1040.0,68.81
1041.0,69.03
1042.0,69.25
1043.0,69.47
1044.0,69.68
1045.0,69.90
1046.0,70.10
1047.0,70.30
1048.0,70.50
1049.0,70.69
1050.0,70.87
1051.0,71.04
1052.0,71.22
1053.0,71.39
1054.0,71.53
1055.0,71.68
1056.0,71.83
1057.0,71.97
1058.0,72.09
1059.0,72.21
1060.0,72.33
1061.0,72.44
1062.0,72.54
1063.0,72.64
1064.0,72.73
1065.0,72.81
1066.0,72.87
1067.0,72.92
1068.0,72.98
1069.0,73.02
1070.0,73.05
1071.0,73.08
1072.0,73.10
1073.0,73.12
1074.0,73.12
1075.0,73.12
1076.0,73.12
1077.0,73.11
1078.0,73.08
1079.0,73.05
1080.0,73.02
1081.0,72.98
1082.0,72.92
1083.0,72.87
1084.0,72.81
1085.0,72.73
1086.0,72.64
1087.0,72.55
1088.0,72.45
1089.0,72.35
1090.0,72.23
1091.0,72.11
1092.0,72.00
1093.0,71.86
1094.0,71.72
1095.0,71.58
1096.0,71.44
1097.0,71.29
1098.0,71.15
1099.0,71.00
1100.0,70.86
1101.0,70.70
1102.0,70.54
1103.0,70.38
1104.0,70.22
1105.0,70.05
1106.0,69.89
1107.0,69.73
1108.0,69.57
1109.0,69.39
1110.0,69.22
1111.0,69.05
1112.0,68.87
1113.0,68.69
1114.0,68.50
1115.0,68.32
1116.0,68.13
1117.0,67.90
1118.0,67.67
1119.0,67.44
1120.0,67.21
1121.0,66.91
1122.0,66.61
1123.0,66.31
1124.0,66.00
1125.0,65.59
1126.0,65.17
1127.0,64.76
1128.0,64.33
1129.0,63.80
1130.0,63.27
1131.0,62.74
1132.0,62.19
1133.0,61.53
1134.0,60.88
1135.0,60.23
