Wavelength,Reflectance
346.0,18.44
347.0,17.98
348.0,17.24
349.0,16.38
350.0,15.7
351.0,15.18
352.0,14.45
353.0,13.99
354.0,13.92
355.0,13.86
356.0,13.65
357.0,13.11
358.0,12.98
359.0,12.93
360.0,12.55
361.0,12.15
362.0,11.78
363.0,11.66
364.0,11.53
365.0,11.38
366.0,10.89
367.0,10.41
368.0,9.97
369.0,9.77
370.0,9.54
371.0,9.09
372.0,8.88
373.0,8.81
374.0,8.92
375.0,8.78
376.0,8.5
377.0,8.25
378.0,8.02
379.0,7.81
380.0,7.75
381.0,7.55
382.0,7.23
383.0,7.0
384.0,6.86
385.0,6.81
386.0,6.65
387.0,6.48
388.0,6.36
389.0,6.33
390.0,6.33
391.0,6.4
392.0,6.41
393.0,6.41
394.0,6.39
395.0,6.52
396.0,6.73
397.0,6.77
398.0,6.64
399.0,6.37
400.0,6.11
401.0,5.9
402.0,5.75
403.0,5.62
404.0,5.53
405.0,5.48
406.0,5.43
407.0,5.37
408.0,5.33
409.0,5.37
410.0,5.42
411.0,5.44
412.0,5.42
413.0,5.41
414.0,5.52
415.0,5.55
416.0,5.55
417.0,5.54
418.0,5.56
419.0,5.58
420.0,5.5
421.0,5.46
422.0,5.44
423.0,5.43
424.0,5.41
425.0,5.4
426.0,5.29
427.0,5.22
428.0,5.19
429.0,5.15
430.0,5.11
431.0,5.09
432.0,5.09
433.0,5.09
434.0,5.09
435.0,5.05
436.0,5.04
437.0,5.06
438.0,5.07
439.0,5.07
440.0,5.06
441.0,5.08
442.0,5.11
443.0,5.14
444.0,5.21
445.0,5.27
446.0,5.3
447.0,5.4
448.0,5.51
449.0,5.57
450.0,5.59
451.0,5.6
452.0,5.6
453.0,5.63
454.0,5.67
455.0,5.72
456.0,5.75
457.0,5.78
458.0,5.83
459.0,5.84
460.0,5.86
461.0,5.91
462.0,5.94
463.0,5.96
464.0,6.01
465.0,6.04
466.0,6.06
467.0,6.07
468.0,6.12
469.0,6.18
470.0,6.26
471.0,6.38
472.0,6.46
473.0,6.42
474.0,6.29
475.0,6.18
476.0,6.12
477.0,6.12
478.0,6.14
479.0,6.2
480.0,6.25
481.0,6.28
482.0,6.3
483.0,6.34
484.0,6.38
485.0,6.42
486.0,6.45
487.0,6.48
488.0,6.54
489.0,6.6
490.0,6.66
491.0,6.73
492.0,6.82
493.0,6.93
494.0,7.06
495.0,7.2
496.0,7.35
497.0,7.49
498.0,7.68
499.0,7.86
500.0,8.04
501.0,8.29
502.0,8.53
503.0,8.78
504.0,9.04
505.0,9.32
506.0,9.61
507.0,9.94
508.0,10.27
509.0,10.6
510.0,10.93
511.0,11.31
512.0,11.68
513.0,12.04
514.0,12.38
515.0,12.74
516.0,13.13
517.0,13.51
518.0,13.89
519.0,14.28
520.0,14.67
521.0,15.08
522.0,15.48
523.0,15.83
524.0,16.19
525.0,16.54
526.0,16.87
527.0,17.18
528.0,17.47
529.0,17.78
530.0,18.04
531.0,18.29
532.0,18.56
533.0,18.78
534.0,19.0
535.0,19.21
536.0,19.41
537.0,19.6
538.0,19.8
539.0,20.01
540.0,20.17
541.0,20.29
542.0,20.37
543.0,20.45
544.0,20.54
545.0,20.68
546.0,20.85
547.0,21.01
548.0,21.16
549.0,21.31
550.0,21.45
551.0,21.58
552.0,21.68
553.0,21.78
554.0,21.87
555.0,21.94
556.0,21.99
557.0,22.02
558.0,22.05
559.0,22.09
560.0,22.11
561.0,22.11
562.0,22.12
563.0,22.12
564.0,22.12
565.0,22.09
566.0,22.05
567.0,22.0
568.0,21.94
569.0,21.88
570.0,21.79
571.0,21.69
572.0,21.59
573.0,21.48
574.0,21.36
575.0,21.24
576.0,21.13
577.0,21.03
578.0,20.93
579.0,20.83
580.0,20.73
581.0,20.65
582.0,20.57
583.0,20.49
584.0,20.41
585.0,20.31
586.0,20.2
587.0,20.08
588.0,19.97
589.0,19.86
590.0,19.77
591.0,19.71
592.0,19.67
593.0,19.64
594.0,19.61
595.0,19.59
596.0,19.57
597.0,19.55
598.0,19.52
599.0,19.49
600.0,19.45
601.0,19.4
602.0,19.33
603.0,19.27
604.0,19.2
605.0,19.11
606.0,19.02
607.0,18.93
608.0,18.83
609.0,18.71
610.0,18.6
611.0,18.48
612.0,18.35
613.0,18.21
614.0,18.09
615.0,17.97
616.0,17.84
617.0,17.72
618.0,17.59
619.0,17.48
620.0,17.36
621.0,17.22
622.0,17.01
623.0,16.79
624.0,16.59
625.0,16.43
626.0,16.33
627.0,16.31
628.0,16.34
629.0,16.42
630.0,16.53
631.0,16.64
632.0,16.74
633.0,16.83
634.0,16.87
635.0,16.89
636.0,16.9
637.0,16.87
638.0,16.8
639.0,16.71
640.0,16.63
641.0,16.53
642.0,16.38
643.0,16.18
644.0,15.95
645.0,15.67
646.0,15.35
647.0,14.99
648.0,14.57
649.0,14.11
650.0,13.62
651.0,13.1
652.0,12.58
653.0,12.18
654.0,12.02
655.0,11.95
656.0,11.9
657.0,11.83
658.0,11.71
659.0,11.55
660.0,11.34
661.0,11.1
662.0,10.87
663.0,10.63
664.0,10.38
665.0,10.12
666.0,9.89
667.0,9.67
668.0,9.46
669.0,9.27
670.0,9.13
671.0,9.0
672.0,8.88
673.0,8.79
674.0,8.73
675.0,8.7
676.0,8.69
677.0,8.7
678.0,8.76
679.0,8.85
680.0,9.0
681.0,9.2
682.0,9.45
683.0,9.77
684.0,10.21
685.0,10.72
686.0,11.33
687.0,12.04
688.0,12.83
689.0,13.76
690.0,14.74
691.0,15.76
692.0,16.93
693.0,18.07
694.0,19.25
695.0,20.48
696.0,21.71
697.0,22.87
698.0,24.03
699.0,25.2
700.0,26.25
701.0,27.32
702.0,28.36
703.0,29.33
704.0,30.28
705.0,31.2
706.0,32.05
707.0,32.82
708.0,33.56
709.0,34.28
710.0,34.94
711.0,35.56
712.0,36.17
713.0,36.76
714.0,37.33
715.0,37.86
716.0,38.32
717.0,38.79
718.0,39.24
719.0,39.66
720.0,40.04
721.0,40.4
722.0,40.76
723.0,41.11
724.0,41.38
725.0,41.64
726.0,41.88
727.0,42.11
728.0,42.35
729.0,42.52
730.0,42.67
731.0,42.8
732.0,42.9
733.0,42.98
734.0,43.07
735.0,43.14
736.0,43.21
737.0,43.23
738.0,43.32
739.0,43.43
740.0,43.53
741.0,43.59
742.0,43.69
743.0,43.78
744.0,43.86
745.0,43.93
746.0,43.97
747.0,44.01
748.0,44.07
749.0,44.18
750.0,44.26
751.0,44.34
752.0,44.39
753.0,44.42
754.0,44.44
755.0,44.44
756.0,44.46
757.0,44.51
758.0,44.56
759.0,44.59
760.0,44.64
761.0,44.7
762.0,44.74
763.0,44.75
764.0,44.81
765.0,44.86
766.0,44.9
767.0,44.93
768.0,44.96
769.0,44.98
770.0,45.01
771.0,45.04
772.0,45.08
773.0,45.12
774.0,45.16
775.0,45.22
776.0,45.29
777.0,45.37
778.0,45.4
779.0,45.46
780.0,45.51
781.0,45.55
782.0,45.54
783.0,45.61
784.0,45.67
785.0,45.73
786.0,45.77
787.0,45.87
788.0,46.02
789.0,46.14
790.0,46.22
791.0,46.22
792.0,46.22
793.0,46.27
794.0,46.37
795.0,46.47
796.0,46.53
797.0,46.57
798.0,46.64
799.0,46.72
800.0,46.78
801.0,46.82
802.0,46.89
803.0,46.92
804.0,46.98
805.0,47.04
806.0,47.08
807.0,47.15
808.0,47.2
809.0,47.25
810.0,47.28
811.0,47.32
812.0,47.35
813.0,47.33
814.0,47.32
815.0,47.34
816.0,47.35
817.0,47.36
818.0,47.37
819.0,47.32
820.0,47.25
821.0,47.19
822.0,47.13
823.0,47.06
824.0,46.98
825.0,46.91
826.0,46.81
827.0,46.7
828.0,46.59
829.0,46.47
830.0,46.38
831.0,46.25
832.0,46.15
833.0,46.08
834.0,46.0
835.0,45.91
836.0,45.84
837.0,45.8
838.0,45.8
839.0,45.76
840.0,45.71
841.0,45.69
842.0,45.69
843.0,45.65
844.0,45.58
845.0,45.55
846.0,45.48
847.0,45.44
848.0,45.44
849.0,45.44
850.0,45.45
851.0,45.42
852.0,45.45
853.0,45.45
854.0,45.42
855.0,45.39
856.0,45.38
857.0,45.38
858.0,45.38
859.0,45.4
860.0,45.35
861.0,45.31
862.0,45.28
863.0,45.27
864.0,45.26
865.0,45.19
866.0,45.17
867.0,45.13
868.0,45.08
869.0,45.08
870.0,45.05
871.0,45.01
872.0,44.99
873.0,44.95
874.0,44.88
875.0,44.83
876.0,44.78
877.0,44.74
878.0,44.63
879.0,44.57
880.0,44.52
881.0,44.46
882.0,44.41
883.0,44.36
884.0,44.36
885.0,44.32
886.0,44.27
887.0,44.24
888.0,44.24
889.0,44.19
890.0,44.12
891.0,44.06
892.0,44.01
893.0,43.94
894.0,43.84
895.0,43.78
896.0,43.72
897.0,43.64
898.0,43.59
899.0,43.53
900.0,43.41
901.0,43.31
902.0,43.27
903.0,43.23
904.0,43.15
905.0,43.08
906.0,43.0
907.0,42.92
908.0,42.87
909.0,42.79
910.0,42.66
911.0,42.6
912.0,42.5
913.0,42.34
914.0,42.26
915.0,42.12
916.0,42.01
917.0,41.9
918.0,41.7
919.0,41.51
920.0,41.36
921.0,41.24
922.0,41.06
923.0,40.82
924.0,40.6
925.0,40.36
926.0,40.17
927.0,39.98
928.0,39.72
929.0,39.51
930.0,39.25
931.0,39.04
932.0,38.76
933.0,38.54
934.0,38.3
935.0,37.95
936.0,37.62
937.0,37.39
938.0,37.18
939.0,36.88
940.0,36.58
941.0,36.21
942.0,35.92
943.0,35.59
944.0,35.36
945.0,35.04
