Wavelength,Reflectance
346.0,25.41
347.0,25.19
348.0,24.8
349.0,24.02
350.0,22.8
351.0,21.23
352.0,20.8
353.0,20.56
354.0,20.39
355.0,20.01
356.0,19.61
357.0,19.24
358.0,19.06
359.0,18.93
360.0,18.71
361.0,18.28
362.0,17.76
363.0,17.62
364.0,17.31
365.0,16.86
366.0,16.54
367.0,16.0
368.0,15.11
369.0,14.78
370.0,14.6
371.0,14.45
372.0,14.26
373.0,14.05
374.0,13.84
375.0,13.65
376.0,13.47
377.0,13.29
378.0,13.09
379.0,12.89
380.0,12.78
381.0,12.57
382.0,12.27
383.0,12.09
384.0,11.9
385.0,11.66
386.0,11.48
387.0,11.36
388.0,11.33
389.0,11.34
390.0,11.35
391.0,11.4
392.0,11.43
393.0,11.48
394.0,11.73
395.0,11.88
396.0,11.94
397.0,11.92
398.0,11.74
399.0,11.44
400.0,11.29
401.0,11.18
402.0,11.13
403.0,10.94
404.0,10.84
405.0,10.89
406.0,10.83
407.0,10.79
408.0,10.83
409.0,10.79
410.0,10.76
411.0,10.84
412.0,10.92
413.0,11.01
414.0,11.11
415.0,11.21
416.0,11.29
417.0,11.24
418.0,11.26
419.0,11.32
420.0,11.26
421.0,11.25
422.0,11.27
423.0,11.26
424.0,11.23
425.0,11.18
426.0,11.03
427.0,10.96
428.0,10.96
429.0,10.87
430.0,10.81
431.0,10.8
432.0,10.82
433.0,10.81
434.0,10.76
435.0,10.73
436.0,10.74
437.0,10.79
438.0,10.83
439.0,10.87
440.0,10.9
441.0,10.95
442.0,11.01
443.0,11.09
444.0,11.21
445.0,11.34
446.0,11.47
447.0,11.61
448.0,11.73
449.0,11.81
450.0,11.85
451.0,11.91
452.0,12.0
453.0,12.1
454.0,12.21
455.0,12.32
456.0,12.4
457.0,12.48
458.0,12.54
459.0,12.62
460.0,12.69
461.0,12.74
462.0,12.81
463.0,12.87
464.0,12.91
465.0,12.94
466.0,12.97
467.0,13.0
468.0,13.07
469.0,13.17
470.0,13.33
471.0,13.4
472.0,13.39
473.0,13.21
474.0,13.08
475.0,13.03
476.0,13.1
477.0,13.21
478.0,13.32
479.0,13.39
480.0,13.44
481.0,13.48
482.0,13.51
483.0,13.56
484.0,13.61
485.0,13.66
486.0,13.73
487.0,13.82
488.0,13.95
489.0,14.09
490.0,14.22
491.0,14.36
492.0,14.55
493.0,14.75
494.0,14.96
495.0,15.23
496.0,15.51
497.0,15.79
498.0,16.1
499.0,16.43
500.0,16.77
501.0,17.15
502.0,17.56
503.0,17.99
504.0,18.45
505.0,18.91
506.0,19.39
507.0,19.92
508.0,20.45
509.0,20.99
510.0,21.53
511.0,22.1
512.0,22.66
513.0,23.19
514.0,23.75
515.0,24.32
516.0,24.88
517.0,25.45
518.0,26.01
519.0,26.57
520.0,27.12
521.0,27.69
522.0,28.26
523.0,28.77
524.0,29.29
525.0,29.8
526.0,30.25
527.0,30.67
528.0,31.08
529.0,31.5
530.0,31.85
531.0,32.19
532.0,32.52
533.0,32.8
534.0,33.07
535.0,33.33
536.0,33.58
537.0,33.82
538.0,34.05
539.0,34.27
540.0,34.44
541.0,34.58
542.0,34.7
543.0,34.83
544.0,34.98
545.0,35.17
546.0,35.37
547.0,35.56
548.0,35.7
549.0,35.85
550.0,35.99
551.0,36.11
552.0,36.21
553.0,36.3
554.0,36.39
555.0,36.45
556.0,36.48
557.0,36.51
558.0,36.52
559.0,36.52
560.0,36.51
561.0,36.5
562.0,36.46
563.0,36.41
564.0,36.36
565.0,36.29
566.0,36.19
567.0,36.08
568.0,35.95
569.0,35.82
570.0,35.66
571.0,35.48
572.0,35.31
573.0,35.14
574.0,34.97
575.0,34.79
576.0,34.63
577.0,34.48
578.0,34.31
