Wavelength,Reflectance
346.0,-14460.0
347.0,-14223.2
348.0,-13884.63
349.0,-14050.88
350.0,-14065.56
351.0,-13928.69
352.0,-14143.0
353.0,-14304.75
354.0,-14329.12
355.0,-14466.26
356.0,-14689.06
357.0,-15045.94
358.0,-15144.13
359.0,-15172.5
360.0,-15365.0
361.0,-15310.8
362.0,-15104.25
363.0,-15006.75
364.0,-14769.56
365.0,-14392.69
366.0,-14235.0
367.0,-13999.0
368.0,-13609.0
369.0,-13436.6
370.0,-13245.44
371.0,-12883.56
372.0,-13026.07
373.0,-13271.75
374.0,-13065.5
375.0,-12728.2
376.0,-12357.73
377.0,-12475.07
378.0,-12158.25
379.0,-11552.0
380.0,-11544.67
381.0,-11111.0
382.0,-10251.0
383.0,-9645.4
384.0,-9098.75
385.0,-8598.13
386.0,-8355.6
387.0,-8144.94
388.0,-7858.06
389.0,-7527.0
390.0,-7223.93
391.0,-7108.6
392.0,-6841.68
393.0,-6569.73
394.0,-6837.07
395.0,-7218.4
396.0,-7609.37
397.0,-7403.12
398.0,-6895.67
399.0,-6087.0
400.0,-4812.0
401.0,-3717.67
402.0,-2894.34
403.0,-2002.61
404.0,-1267.8
405.0,-779.8
406.0,-130.82
407.0,562.79
408.0,1318.79
409.0,1582.0
410.0,1717.87
411.0,1844.13
412.0,2021.54
413.0,2193.67
414.0,2257.0
415.0,2532.2
416.0,2930.51
417.0,3458.0
418.0,3871.4
419.0,4205.74
420.0,4513.07
421.0,5027.6
422.0,5669.82
423.0,6217.94
424.0,6793.0
425.0,7395.0
426.0,8055.0
427.0,8785.0
428.0,9585.0
429.0,10357.67
430.0,10990.56
431.0,11483.68
432.0,12145.6
433.0,12681.46
434.0,13000.13
435.0,13583.4
436.0,14109.93
437.0,14507.26
438.0,14967.6
439.0,15506.4
440.0,16152.4
441.0,16892.0
442.0,17636.93
443.0,18374.26
444.0,19005.99
445.0,19660.99
446.0,20397.66
447.0,21370.59
448.0,22417.79
449.0,23500.45
450.0,24912.18
451.0,26512.18
452.0,28359.51
453.0,29707.65
454.0,31013.78
455.0,32513.12
456.0,33889.25
457.0,35274.18
458.0,36751.52
459.0,37980.85
460.0,39196.18
461.0,40523.52
462.0,41545.79
463.0,42521.19
464.0,43565.19
465.0,44509.99
466.0,45424.79
467.0,46327.46
468.0,47186.39
469.0,47768.2
470.0,47728.87
471.0,47653.8
472.0,47946.39
473.0,49117.72
474.0,51389.12
475.0,53628.72
476.0,55408.06
477.0,56553.19
478.0,57388.13
479.0,57863.46
480.0,58807.39
481.0,59797.53
482.0,60778.86
483.0,62057.19
484.0,63545.06
485.0,65297.72
486.0,67241.79
487.0,69360.99
488.0,71711.0
489.0,74097.67
490.0,76585.33
491.0,79174.0
492.0,82270.67
493.0,85614.67
494.0,89206.0
495.0,92925.3
496.0,96707.82
497.0,100576.23
498.0,104838.23
499.0,109233.43
500.0,113786.7
501.0,118963.36
502.0,124365.76
503.0,129878.47
504.0,135230.47
505.0,140848.0
506.0,146700.34
507.0,153036.66
508.0,158892.73
509.0,164617.93
510.0,170317.93
511.0,176736.8
512.0,183329.61
513.0,189913.75
514.0,196953.77
515.0,204238.7
516.0,211815.0
517.0,219558.33
518.0,227419.67
519.0,235399.0
520.0,243308.33
521.0,251736.85
522.0,260645.99
523.0,269207.99
524.0,278075.35
525.0,287091.84
526.0,295890.51
527.0,304409.64
528.0,312813.5
529.0,321235.5
530.0,329380.17
531.0,337486.32
532.0,345664.39
533.0,353505.79
534.0,361556.15
535.0,369976.0
536.0,377046.0
537.0,384189.0
538.0,391405.0
539.0,398167.74
540.0,405724.8
541.0,413909.87
542.0,422980.83
543.0,430819.56
544.0,437490.18
545.0,441600.82
546.0,444084.16
547.0,446082.58
548.0,447963.91
549.0,449881.3
550.0,451680.67
551.0,453358.0
552.0,455497.96
553.0,457108.37
554.0,458380.97
555.0,459791.01
556.0,461711.09
557.0,463860.73
558.0,466054.27
559.0,468650.74
560.0,471583.75
561.0,474870.41
562.0,478386.32
563.0,482292.33
564.0,486563.0
565.0,490505.79
566.0,494856.25
567.0,499295.11
568.0,503000.45
569.0,506617.0
570.0,510087.56
571.0,513306.21
572.0,515782.06
573.0,518200.9
574.0,520658.0
575.0,522926.53
