WAVELENGTH,PC1,PC2
Reflectance D31 GB,48.708742879068964,-22.78371602197313
Reflectance D31 GS1,83.88174592764271,-4.238101776498585
Reflectance D31 GS2,45.98239053055772,-19.86468233053985
Reflectance D31 GS3,168.6967356145204,29.936372343623095
Reflectance D31 GT1,46.9858325692746,-11.604943881139322
Reflectance D31 GT2,72.65909614636223,-16.259950668767196
Wavelength,-19.96632825811807,4.333189307462284
Reflectance D23 GB1,-21.352811434865824,1.8034075444885675
Reflectance D23 GS1,-21.345287800537026,1.8123442442220588
Reflectance D23 GS2,-21.346816269145428,1.810101589586264
Reflectance D23 GS3,-21.347875818422988,1.808748877751696
Reflectance D23 GS4,-21.34765525725548,1.808709997480987
Reflectance D23 GT1,-21.3514630111769,1.8043624367252937
Reflectance D23 GT2,-21.35344552573661,1.8023067657236795
Wavelength,-19.96632825811807,4.333189307462284
Reflectance D6 GB,-21.34733338400344,1.8092054441591228
Reflectance D6 GS1,-21.336086567796507,1.8240417893454155
Reflectance D6 GS2,-21.33860042376888,1.81899851605153
Reflectance D6 GS3,-21.348913696422677,1.8068753933776043
Reflectance D6 GS 4,-21.34080523378478,1.8176694186014115
Reflectance D6 GT1,-21.35098614127321,1.804268340868578
Reflectance D6 GT2,-21.35229382855741,1.8032739783610272
Reflectance D3 GB1,-21.352503309869657,1.803730791290434
Reflectance D3 GS1,-21.351170336239754,1.8049933338947186
Reflectance D3 GS2,-21.355270515915368,1.8003050663534523
Reflectance D3 GS3,-21.353421130978745,1.8026298636777658
Reflectance D3 GT1,-21.354878275247387,1.8003883737891524
Reflectance D3 GT2,-21.354269190192433,1.8022819546216338
