WAVELENGTH,PC1,PC2
Reflectance D9 GB1,-28.976002445950858,8.05447434525325
Reflectance D9 GB2,-35.96023198010082,3.6911491393513858
Reflectance D9 GB,-28.917772424515018,8.410392225907046
Reflectance D9 GS1,57.79409043040114,2.5549383728551613
Reflectance D9 GS2,77.63842152926168,-2.22579451525591
Reflectance D9 GS3,53.31421899619835,-13.843689969891711
Reflectance D9 GS4,-33.20001313149258,-10.713185864843492
Reflectance D9 GS5,-1.2735330953197688,35.48870457205309
Reflectance D9 GT1,-10.741105578318185,-12.807214372965964
Reflectance D9 GT2,-49.67807230016387,-18.609773932462893
